County,State,FIPS,pov 1a0c,pov 1a1c,pov 1a2c,pov 1a3c,pov 2a1w0c,pov 2a1w1c,pov 2a1w2c,pov 2a1w3c,pov 2a2w0c,pov 2a2w1c,pov 2a2w2c,pov 2a2w3c,live 1a0c,live 1a1c,live 1a2c,live 1a3c,live 2a1w0c,live 2a1w1c,live 2a1w2c,live 2a1w3c,live 2a2w0c,live 2a2w1c,live 2a2w2c,live 2a2w3c,min 1a0c,min 1a1c,min 1a2c,min 1a3c,min 2a1w0c,min 2a1w1c,min 2a1w2c,min 2a1w3c,min 2a2w0c,min 2a2w1c,min 2a2w2c,min 2a2w3c,pct_less_hs,pct_hs,pct_some_college,pct_college,crime_per_10k,unemployment_rate_2019,median_household_income_2019
Marin County,CA,6041,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$28.00,$55.92,$68.54,$90.04,$41.13,$49.45,$53.43,$61.60,$20.56,$29.54,$36.35,$45.25,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,6.7,10.5,23.3,59.5,169.01,2.4,112069
Mariposa County,CA,6043,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$15.29,$34.12,$42.09,$53.61,$26.72,$32.31,$36.29,$39.13,$13.36,$18.65,$23.13,$27.04,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,9.4,24.4,41.7,24.6,339.02,4.6,52760
Mendocino County,CA,6045,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$15.93,$35.43,$43.85,$57.10,$27.39,$33.17,$37.15,$41.26,$13.69,$19.30,$24.01,$28.78,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,13.5,25,37.1,24.4,403.26,4,52309
"Merced, CA",CA,6047,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.86,$31.97,$40.18,$52.71,$24.58,$29.91,$33.89,$37.50,$11.81,$17.57,$22.17,$26.59,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,30.9,25.3,30.1,13.8,309.46,8.2,59733
Merced County,CA,6047,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$14.12,$33.53,$41.74,$54.27,$26.56,$31.47,$35.45,$39.06,$13.28,$18.35,$22.95,$27.37,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,30.9,25.3,30.1,13.8,309.46,8.2,59733
Modoc County,CA,6049,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.20,$31.90,$39.82,$51.10,$24.25,$30.14,$34.12,$36.77,$12.13,$17.54,$21.99,$25.78,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,15.2,33,36.6,15.2,440.95,7.2,45311
Mono County,CA,6051,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$16.41,$38.30,$48.71,$63.36,$28.04,$34.05,$38.03,$41.56,$14.02,$20.74,$26.44,$31.91,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,11.4,24.2,35.5,28.8,152.87,3.8,66226
Monterey County,CA,6053,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$19.74,$40.39,$48.98,$64.72,$31.71,$37.96,$41.94,$48.38,$15.85,$21.78,$26.57,$32.59,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,28.5,20.3,26.5,24.7,202.2,6.4,76509
"Napa, CA",CA,6055,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$18.34,$40.70,$50.63,$67.98,$29.85,$36.92,$40.90,$47.61,$14.16,$21.93,$27.40,$34.22,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,14.5,17.8,32,35.7,203.87,2.9,90230
Napa County,CA,6055,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$18.96,$42.26,$52.19,$69.54,$31.41,$38.48,$42.46,$49.17,$15.70,$22.71,$28.18,$35.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,14.5,17.8,32,35.7,203.87,2.9,90230
Nevada County,CA,6057,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$16.30,$36.62,$45.16,$59.25,$28.18,$34.23,$38.21,$43.04,$14.09,$19.89,$24.66,$29.86,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,5.6,18.4,38.8,37.2,219.36,3.4,69550
Orange County,CA,6059,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$22.44,$45.36,$55.85,$74.15,$34.10,$41.01,$44.99,$52.08,$17.05,$24.26,$30.01,$37.31,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,14.5,17.2,27.7,40.6,206,2.8,95761
Placer County,CA,6061,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$16.99,$37.87,$47.40,$62.58,$28.74,$34.49,$38.47,$43.42,$14.37,$20.52,$25.78,$31.52,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,5.5,18,36.8,39.7,168.63,3.2,97688
Plumas County,CA,6063,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.90,$33.00,$40.91,$52.51,$25.27,$31.24,$35.22,$38.18,$12.63,$18.08,$22.54,$26.49,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,4.9,26.1,45.3,23.7,328.4,7.8,59376
Riverside County,CA,6065,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$16.44,$36.58,$45.27,$58.89,$28.42,$34.04,$38.02,$42.24,$14.21,$19.88,$24.72,$29.68,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,18,26.9,32.9,22.3,132.96,4.2,72905
Sacramento County,CA,6067,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$16.99,$37.27,$46.20,$60.78,$28.74,$34.49,$38.47,$43.42,$14.37,$20.22,$25.18,$30.62,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,12.3,22.4,34.5,30.9,191.51,3.7,71891
San Benito County,CA,6069,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$19.43,$39.77,$48.50,$64.08,$30.44,$37.21,$41.19,$47.33,$15.22,$21.47,$26.33,$32.27,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,19.5,24.8,36,19.7,201.1,5,84209
San Bernardino County,CA,6071,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$16.44,$36.31,$44.74,$58.09,$28.42,$34.04,$38.02,$42.24,$14.21,$19.74,$24.45,$29.28,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,20,26.3,32.7,21,252.61,3.9,67398
"San Diego-Carlsbad, CA",CA,6073,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$19.63,$41.41,$50.88,$67.95,$30.89,$38.10,$42.08,$48.98,$14.84,$22.29,$27.52,$34.21,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,12.6,18.2,30.4,38.8,199.38,3.3,83576
San Diego County,CA,6073,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$21.26,$42.97,$52.44,$69.51,$32.45,$39.67,$43.64,$50.54,$16.23,$23.07,$28.30,$34.99,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,12.6,18.2,30.4,38.8,199.38,3.3,83576
San Francisco County,CA,6075,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$28.00,$56.11,$68.93,$90.62,$41.13,$49.45,$53.43,$61.60,$20.56,$29.64,$36.54,$45.54,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,11.5,12.1,18.4,58.1,162.05,2.2,121795
San Joaquin County,CA,6077,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$15.50,$35.56,$44.32,$58.06,$27.21,$32.95,$36.93,$41.19,$13.61,$19.36,$24.24,$29.26,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,20.7,28.3,32.2,18.8,207.31,6,68458
San Luis Obispo County,CA,6079,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$18.44,$39.83,$49.00,$64.86,$30.26,$36.81,$40.79,$46.75,$15.13,$21.50,$26.58,$32.66,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,8.7,19.9,36,35.4,250.61,2.9,76599
San Mateo County,CA,6081,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$28.00,$55.59,$67.89,$89.06,$41.13,$49.45,$53.43,$61.60,$20.56,$29.38,$36.03,$44.76,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,10.4,14.9,23.8,51,167.26,2.1,135234
Santa Barbara County,CA,6083,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$23.33,$45.08,$54.50,$70.93,$35.44,$41.82,$45.80,$52.10,$17.72,$24.13,$29.33,$35.70,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,19.1,17.8,29,34.2,294.72,3.7,74530
Santa Clara County,CA,6085,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$27.29,$52.12,$63.71,$83.79,$39.16,$46.68,$50.66,$58.43,$19.58,$27.64,$33.94,$42.13,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,11.6,14.1,21.9,52.4,149.47,2.5,132444
"Santa Cruz-Watsonville, CA",CA,6087,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$21.89,$45.25,$54.94,$71.97,$33.50,$41.73,$45.71,$52.35,$15.73,$24.21,$29.55,$36.22,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,13.7,15.5,30,40.8,265.81,5,85770
Santa Cruz County,CA,6087,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$23.02,$46.81,$56.50,$73.53,$35.06,$43.29,$47.27,$53.91,$17.53,$24.99,$30.33,$37.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,13.7,15.5,30,40.8,265.81,5,85770
Shasta County,CA,6089,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.97,$33.69,$41.91,$54.53,$26.27,$31.61,$35.59,$39.27,$13.14,$18.43,$23.04,$27.50,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,8.9,25.4,43.5,22.2,410.64,4.8,61464
Sierra County,CA,6091,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$16.31,$35.66,$43.58,$56.83,$28.01,$33.90,$37.88,$42.51,$14.00,$19.42,$23.87,$28.65,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,7.6,31.7,42.8,17.9,194.27,5.4,55862
Siskiyou County,CA,6093,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.70,$32.87,$41.12,$53.25,$24.73,$30.79,$34.77,$37.94,$12.37,$18.02,$22.64,$26.86,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,9.8,25.5,41.6,23.2,420.3,6.6,45954
Solano County,CA,6095,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$18.23,$39.20,$48.27,$63.78,$30.59,$36.30,$40.28,$46.02,$15.29,$21.19,$26.22,$32.12,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,11.6,23.8,37.7,26.9,226.25,3.8,85704
Sonoma County,CA,6097,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$19.51,$42.70,$52.56,$69.97,$31.87,$39.00,$42.98,$49.82,$15.94,$22.94,$28.36,$35.22,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,11.2,18.7,34.5,35.5,268.45,2.7,87084
Stanislaus County,CA,6099,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$15.81,$34.93,$43.36,$56.43,$27.33,$32.66,$36.64,$40.57,$13.67,$19.05,$23.76,$28.45,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,21.1,29.3,32.5,17.1,284.35,6.2,62761
Sutter County,CA,6101,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$16.17,$34.85,$43.33,$56.60,$27.03,$32.52,$36.50,$40.57,$13.51,$19.01,$23.75,$28.53,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,21.8,23.3,36.6,18.2,392.22,7.5,60910
Tehama County,CA,6103,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$14.11,$33.15,$41.28,$52.89,$25.02,$31.18,$35.16,$37.93,$12.51,$18.16,$22.72,$26.68,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,15.5,30.1,38.7,15.7,301,5.7,51672
Trinity County,CA,6105,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.59,$32.67,$40.74,$52.82,$24.98,$30.76,$34.74,$38.03,$12.49,$17.92,$22.45,$26.64,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,7.6,34.8,38,19.5,277.55,5.6,43881
Tulare County,CA,6107,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$15.25,$33.39,$41.50,$53.58,$25.21,$31.43,$35.41,$38.65,$12.60,$18.28,$22.83,$27.02,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,29.2,25.5,30.7,14.6,375.01,9.9,56776
Tuolumne County,CA,6109,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$15.13,$34.28,$42.72,$55.63,$26.90,$31.98,$35.96,$39.71,$13.45,$18.72,$23.44,$28.05,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,9.3,28.3,41.9,20.5,446.3,4.6,64729
Ventura County,CA,6111,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$19.25,$42.27,$51.73,$68.13,$31.98,$38.96,$42.94,$49.15,$15.99,$22.72,$27.95,$34.30,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,15,19.2,32.1,33.8,361.6,3.7,91446
Yolo County,CA,6113,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$17.41,$38.30,$47.85,$63.24,$28.69,$34.91,$38.89,$44.01,$14.35,$20.74,$26.01,$31.85,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,13.5,18.1,27,41.4,231.06,4.2,70951
"Yuba City, CA",CA,6115,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$15.55,$33.17,$41.53,$54.68,$25.04,$30.96,$34.94,$39.01,$12.50,$18.17,$22.85,$27.57,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,17.7,23.6,41.6,17.1,301.97,6.2,56607
Yuba County,CA,6115,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$16.17,$34.58,$42.80,$55.80,$27.03,$32.52,$36.50,$40.57,$13.51,$18.88,$23.48,$28.13,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,17.7,23.6,41.6,17.1,301.97,6.2,56607
Adams County,CO,8001,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$17.40,$35.76,$44.67,$58.91,$27.03,$32.66,$36.41,$41.07,$13.52,$19.37,$24.30,$29.67,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,16.2,28.6,30.9,24.3,591.11,2.8,75341
Alamosa County,CO,8003,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.81,$28.27,$35.48,$45.46,$22.42,$26.87,$30.62,$32.71,$11.21,$15.63,$19.70,$22.95,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,13.1,28.5,33.3,25,428.56,3.4,38213
Arapahoe County,CO,8005,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$17.40,$35.90,$44.96,$59.34,$27.03,$32.66,$36.41,$41.07,$13.52,$19.45,$24.44,$29.89,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,7.4,20.8,29,42.8,333.23,2.6,82364
Archuleta County,CO,8007,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$14.42,$29.79,$37.31,$47.72,$23.05,$28.07,$31.82,$34.04,$11.52,$16.39,$20.62,$24.08,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,7.7,21,34.2,37.2,284.83,3,57604
Baca County,CO,8009,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.81,$27.23,$33.65,$43.40,$22.42,$26.62,$30.37,$33.04,$11.21,$15.11,$18.79,$21.92,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,13.8,28,36.8,21.4,290.71,1.6,38945
Bent County,CO,8011,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.72,$26.93,$33.05,$41.52,$22.33,$26.62,$30.37,$32.05,$11.17,$14.96,$18.49,$20.98,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,15.2,48.7,24.6,11.4,234.97,2.7,35764
"Boulder, CO",CO,8013,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$18.53,$38.32,$48.72,$64.93,$28.11,$33.73,$37.48,$42.61,$13.56,$20.66,$26.32,$32.68,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,5,11.7,21.2,62.1,338.41,2.3,88341
Boulder County,CO,8013,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$18.53,$38.32,$48.72,$64.93,$28.11,$33.73,$37.48,$42.61,$14.05,$20.66,$26.32,$32.68,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,5,11.7,21.2,62.1,338.41,2.3,88341
Chaffee County,CO,8015,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.31,$30.54,$39.50,$51.88,$23.22,$27.38,$31.13,$33.88,$11.61,$16.77,$21.71,$26.16,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,6.5,27,32.7,33.8,392.35,2.3,60331
Cheyenne County,CO,8017,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.33,$27.53,$34.24,$43.47,$21.94,$26.62,$30.37,$32.22,$10.97,$15.26,$19.08,$21.95,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,8.4,36.8,35.7,19.2,26.68,1.6,52337
Clear Creek County,CO,8019,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$17.40,$35.44,$44.02,$57.93,$27.03,$32.66,$36.41,$41.07,$13.52,$19.21,$23.97,$29.19,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,1.4,21.9,28.7,48.1,280.29,2.4,79900
Conejos County,CO,8021,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.56,$26.97,$33.12,$41.83,$22.18,$26.62,$30.37,$32.26,$11.09,$14.98,$18.52,$21.13,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,12,33.9,33,21,0,3.5,40944
Costilla County,CO,8023,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.56,$26.57,$32.32,$40.42,$22.18,$26.62,$30.37,$32.05,$11.09,$14.78,$18.12,$20.43,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,19,24.5,37.2,19.3,0,3.8,34731
Crowley County,CO,8025,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.67,$27.37,$33.79,$43.04,$22.33,$26.75,$30.50,$32.65,$11.16,$15.18,$18.86,$21.74,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,13.9,42.6,34.5,9,273.93,4.1,38224
Custer County,CO,8027,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.49,$28.09,$35.14,$44.89,$22.11,$26.84,$30.59,$32.61,$11.06,$15.54,$19.53,$22.66,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,6.4,20.8,40.3,32.5,282.64,2.9,57381
Delta County,CO,8029,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$14.22,$29.46,$36.93,$47.19,$22.84,$27.79,$31.54,$33.66,$11.42,$16.23,$20.43,$23.81,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,9.3,38.3,30.7,21.7,286.37,3.2,51525
Denver County,CO,8031,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$17.40,$36.28,$45.70,$60.45,$27.03,$32.66,$36.41,$41.07,$13.52,$19.63,$24.81,$30.45,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,12,16.8,21.7,49.4,380.41,2.6,75456
Dolores County,CO,8033,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.83,$27.64,$34.45,$44.62,$22.54,$26.62,$30.37,$33.04,$11.27,$15.31,$19.19,$22.53,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,6.2,36.2,33.5,24.1,174.25,2.9,50232
Douglas County,CO,8035,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$17.40,$36.55,$46.24,$61.27,$27.03,$32.66,$36.41,$41.07,$13.52,$19.77,$25.08,$30.85,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,1.9,12,28.1,58,133.89,2.3,123697
