,State,County,1a1w0c,1a1w1c,1a1w2c,1a1w3c,2a1w0c,2a1w1c,2a1w2c,2a1w3c,2a2w0c,2a2w1c,2a2w2c,2a2w3c
1494,Georgia,Charlton County,$13.54,$26.25,$31.74,$39.65,$22.18,$26.23,$29.87,$31.33,$11.09,$14.53,$17.77,$19.91
1497,Georgia,Chatham County,$15.58,$29.34,$35.34,$45.17,$24.45,$28.81,$32.46,$35.33,$12.23,$16.07,$19.57,$22.67
1500,Georgia,Chattahoochee County,$13.82,$27.25,$32.75,$41.33,$22.89,$27.23,$30.88,$33.00,$11.44,$15.03,$18.27,$20.75
1503,Georgia,Chattooga County,$13.08,$26.25,$31.74,$40.11,$21.62,$26.23,$29.87,$31.79,$10.81,$14.53,$17.77,$20.14
1506,Georgia,Cherokee County,$16.72,$31.70,$38.91,$49.58,$25.45,$29.94,$33.59,$36.08,$12.72,$17.25,$21.36,$24.88
1509,Georgia,Clarke County,$14.51,$28.18,$34.17,$43.48,$23.27,$27.65,$31.29,$33.64,$11.63,$15.49,$18.98,$21.83
1512,Georgia,Clay County,$13.23,$26.25,$31.74,$40.44,$21.78,$26.23,$29.87,$32.12,$10.89,$14.53,$17.77,$20.31
1515,Georgia,Clayton County,$16.72,$31.70,$38.91,$49.58,$25.45,$29.94,$33.59,$36.08,$12.72,$17.25,$21.36,$24.88
1518,Georgia,Clinch County,$13.23,$26.25,$31.74,$40.44,$21.78,$26.23,$29.87,$32.12,$10.89,$14.53,$17.77,$20.31
1521,Georgia,Cobb County,$16.72,$31.70,$38.91,$49.58,$25.45,$29.94,$33.59,$36.08,$12.72,$17.25,$21.36,$24.88
1524,Georgia,Coffee County,$13.54,$26.25,$31.74,$39.52,$22.18,$26.23,$29.87,$31.20,$11.09,$14.53,$17.77,$19.85
1527,Georgia,Colquitt County,$13.23,$26.25,$31.74,$39.52,$21.78,$26.23,$29.87,$31.20,$10.89,$14.53,$17.77,$19.85
1530,Georgia,Columbia County,$14.50,$28.18,$34.17,$43.52,$23.26,$27.65,$31.29,$33.68,$11.63,$15.49,$18.98,$21.85
1533,Georgia,Cook County,$13.52,$26.25,$31.74,$39.88,$22.06,$26.23,$29.87,$31.56,$11.03,$14.53,$17.77,$20.03
1536,Georgia,Coweta County,$16.72,$30.47,$36.47,$45.92,$25.45,$29.94,$33.59,$36.08,$12.72,$16.64,$20.13,$23.05
1539,Georgia,Crawford County,$13.16,$27.12,$32.61,$40.89,$22.94,$27.09,$30.74,$32.57,$11.47,$14.96,$18.20,$20.53
1542,Georgia,Crisp County,$13.23,$26.25,$31.74,$39.99,$21.78,$26.23,$29.87,$31.66,$10.89,$14.53,$17.77,$20.08
1545,Georgia,Dade County,$13.85,$27.56,$33.05,$41.47,$23.00,$27.53,$31.18,$33.14,$11.50,$15.18,$18.42,$20.82
1548,Georgia,Dawson County,$16.72,$30.47,$36.47,$45.92,$25.45,$29.94,$33.59,$36.08,$12.72,$16.64,$20.13,$23.05
1551,Georgia,Decatur County,$13.08,$26.25,$31.74,$39.91,$21.63,$26.23,$29.87,$31.59,$10.81,$14.53,$17.77,$20.04
1554,Georgia,DeKalb County,$16.72,$31.70,$38.91,$49.58,$25.45,$29.94,$33.59,$36.08,$12.72,$17.25,$21.36,$24.88
1557,Georgia,Dodge County,$13.08,$26.25,$31.74,$39.52,$21.62,$26.23,$29.87,$31.20,$10.81,$14.53,$17.77,$19.85
1560,Georgia,Dooly County,$13.44,$26.25,$31.74,$39.52,$22.18,$26.23,$29.87,$31.20,$11.09,$14.53,$17.77,$19.85
1563,Georgia,Dougherty County,$13.87,$27.40,$33.39,$42.14,$22.55,$26.87,$30.52,$32.31,$11.27,$15.10,$18.59,$21.16
1566,Georgia,Douglas County,$16.72,$31.70,$38.91,$49.58,$25.45,$29.94,$33.59,$36.08,$12.72,$17.25,$21.36,$24.88
1569,Georgia,Early County,$12.95,$26.25,$31.74,$39.74,$22.18,$26.23,$29.87,$31.41,$11.09,$14.53,$17.77,$19.96
1572,Georgia,Echols County,$13.49,$26.75,$32.24,$41.06,$22.04,$26.72,$30.37,$32.74,$11.02,$14.78,$18.02,$20.62
1575,Georgia,Effingham County,$15.58,$29.34,$35.34,$45.17,$24.45,$28.81,$32.46,$35.33,$12.23,$16.07,$19.57,$22.67
1578,Georgia,Elbert County,$13.36,$26.25,$31.74,$39.93,$21.90,$26.23,$29.87,$31.60,$10.95,$14.53,$17.77,$20.05
1581,Georgia,Emanuel County,$13.19,$26.25,$31.74,$40.03,$21.73,$26.23,$29.87,$31.70,$10.87,$14.53,$17.77,$20.10
1584,Georgia,Evans County,$13.23,$26.25,$31.74,$39.52,$21.78,$26.23,$29.87,$31.20,$10.89,$14.53,$17.77,$19.85
1587,Georgia,Fannin County,$13.93,$26.71,$32.20,$41.07,$22.58,$26.68,$30.33,$32.75,$11.29,$14.76,$18.00,$20.62
1590,Georgia,Fayette County,$16.72,$31.70,$38.91,$49.58,$25.45,$29.94,$33.59,$36.08,$12.72,$17.25,$21.36,$24.88
1593,Georgia,Floyd County,$13.93,$27.51,$33.50,$42.49,$22.48,$26.97,$30.62,$32.65,$11.24,$15.16,$18.65,$21.33
1596,Georgia,Forsyth County,$16.72,$31.70,$38.91,$49.58,$25.45,$29.94,$33.59,$36.08,$12.72,$17.25,$21.36,$24.88
1599,Georgia,Franklin County,$12.59,$26.25,$31.74,$40.34,$22.18,$26.23,$29.87,$32.01,$11.09,$14.53,$17.77,$20.26
1602,Georgia,Fulton County,$16.72,$31.70,$38.91,$49.58,$25.45,$29.94,$33.59,$36.08,$12.72,$17.25,$21.36,$24.88
1605,Georgia,Gilmer County,$13.70,$26.93,$32.42,$40.37,$22.25,$26.90,$30.55,$32.04,$11.12,$14.87,$18.11,$20.27
1608,Georgia,Glascock County,$13.39,$26.25,$31.74,$40.29,$21.93,$26.23,$29.87,$31.97,$10.96,$14.53,$17.77,$20.23
1611,Georgia,Glynn County,$14.24,$27.73,$33.72,$43.07,$22.79,$27.20,$30.85,$33.24,$11.40,$15.27,$18.76,$21.62
1614,Georgia,Gordon County,$13.26,$26.77,$32.76,$41.98,$21.91,$26.24,$29.89,$32.14,$10.95,$14.79,$18.28,$21.08
1617,Georgia,Grady County,$13.23,$26.40,$31.89,$40.29,$21.84,$26.37,$30.02,$31.96,$10.92,$14.60,$17.84,$20.23
1620,Georgia,Greene County,$13.72,$26.45,$31.95,$40.05,$22.36,$26.43,$30.08,$31.72,$11.18,$14.63,$17.87,$20.11
1623,Georgia,Gwinnett County,$16.72,$31.70,$38.91,$49.58,$25.45,$29.94,$33.59,$36.08,$12.72,$17.25,$21.36,$24.88
1626,Georgia,Habersham County,$12.99,$26.63,$32.12,$40.52,$21.92,$26.60,$30.25,$32.19,$10.96,$14.72,$17.96,$20.35
1629,Georgia,Hall County,$14.58,$29.76,$36.97,$47.46,$23.74,$28.01,$31.65,$33.96,$11.87,$16.28,$20.39,$23.82
1632,Georgia,Hancock County,$13.23,$26.25,$31.74,$40.44,$21.78,$26.23,$29.87,$32.12,$10.89,$14.53,$17.77,$20.31
1635,Georgia,Haralson County,$14.52,$27.57,$33.06,$41.27,$23.08,$27.54,$31.19,$32.94,$11.54,$15.19,$18.43,$20.72
1638,Georgia,Harris County,$13.82,$27.76,$33.75,$42.84,$22.89,$27.23,$30.88,$33.00,$11.44,$15.28,$18.77,$21.51
1641,Georgia,Hart County,$13.16,$26.87,$32.87,$41.18,$21.70,$26.34,$29.99,$31.34,$10.85,$14.84,$18.33,$20.68
1644,Georgia,Heard County,$16.72,$29.97,$35.46,$44.41,$25.45,$29.94,$33.59,$36.08,$12.72,$16.39,$19.63,$22.29
1647,Georgia,Henry County,$16.72,$31.70,$38.91,$49.58,$25.45,$29.94,$33.59,$36.08,$12.72,$17.25,$21.36,$24.88
1650,Georgia,Houston County,$14.49,$28.51,$34.51,$43.48,$23.72,$27.98,$31.63,$33.64,$11.86,$15.66,$19.15,$21.83
1653,Georgia,Irwin County,$13.23,$26.25,$31.74,$39.52,$21.78,$26.23,$29.87,$31.20,$10.89,$14.53,$17.77,$19.85
1656,Georgia,Jackson County,$13.72,$27.61,$33.60,$42.58,$22.27,$27.08,$30.72,$32.75,$11.14,$15.21,$18.70,$21.38
1659,Georgia,Jasper County,$16.72,$29.97,$35.46,$44.41,$25.45,$29.94,$33.59,$36.08,$12.72,$16.39,$19.63,$22.29
1662,Georgia,Jeff Davis County,$13.23,$26.25,$31.74,$39.52,$21.78,$26.23,$29.87,$31.20,$10.89,$14.53,$17.77,$19.85
1665,Georgia,Jefferson County,$13.08,$26.25,$31.74,$39.70,$21.62,$26.23,$29.87,$31.38,$10.81,$14.53,$17.77,$19.94
1668,Georgia,Jenkins County,$13.23,$26.25,$31.74,$39.74,$21.78,$26.23,$29.87,$31.41,$10.89,$14.53,$17.77,$19.96
1671,Georgia,Johnson County,$13.54,$26.25,$31.74,$40.01,$22.18,$26.23,$29.87,$31.69,$11.09,$14.53,$17.77,$20.09
1674,Georgia,Jones County,$13.16,$27.62,$33.62,$42.40,$22.94,$27.09,$30.74,$32.57,$11.47,$15.21,$18.71,$21.29
1677,Georgia,Lamar County,$14.25,$27.58,$33.58,$42.44,$22.91,$27.05,$30.70,$32.61,$11.45,$15.20,$18.69,$21.31
1680,Georgia,Lanier County,$13.49,$26.75,$32.24,$41.06,$22.04,$26.72,$30.37,$32.74,$11.02,$14.78,$18.02,$20.62
1683,Georgia,Laurens County,$13.35,$26.25,$31.74,$39.96,$21.90,$26.23,$29.87,$31.64,$10.95,$14.53,$17.77,$20.07
1686,Georgia,Lee County,$13.87,$27.40,$33.39,$42.14,$22.55,$26.87,$30.52,$32.31,$11.27,$15.10,$18.59,$21.16
1689,Georgia,Liberty County,$14.65,$28.47,$34.47,$44.43,$23.69,$27.94,$31.59,$34.59,$11.84,$15.64,$19.13,$22.30
1692,Georgia,Lincoln County,$13.49,$26.40,$31.90,$40.38,$22.31,$26.38,$30.03,$32.05,$11.16,$14.61,$17.85,$20.28
1695,Georgia,Long County,$13.42,$26.48,$31.97,$40.77,$21.97,$26.45,$30.10,$32.44,$10.99,$14.64,$17.88,$20.47
1698,Georgia,Lowndes County,$13.49,$27.25,$33.25,$42.57,$22.04,$26.72,$30.37,$32.74,$11.02,$15.03,$18.52,$21.37
1701,Georgia,Lumpkin County,$14.12,$28.14,$34.13,$43.20,$22.67,$27.61,$31.26,$33.37,$11.34,$15.47,$18.97,$21.69
1704,Georgia,Macon County,$13.08,$26.25,$31.74,$39.52,$21.62,$26.23,$29.87,$31.20,$10.81,$14.53,$17.77,$19.85
1707,Georgia,Madison County,$14.51,$28.18,$34.17,$43.48,$23.27,$27.65,$31.29,$33.64,$11.63,$15.49,$18.98,$21.83
1710,Georgia,Marion County,$13.82,$27.25,$32.75,$41.33,$22.89,$27.23,$30.88,$33.00,$11.44,$15.03,$18.27,$20.75
1713,Georgia,McDuffie County,$14.50,$28.18,$34.17,$43.52,$23.26,$27.65,$31.29,$33.68,$11.63,$15.49,$18.98,$21.85
1716,Georgia,McIntosh County,$14.24,$27.23,$32.72,$41.56,$22.79,$27.20,$30.85,$33.24,$11.40,$15.02,$18.26,$20.87
1719,Georgia,Meriwether County,$14.03,$28.02,$34.02,$43.79,$22.58,$27.49,$31.14,$33.95,$11.29,$15.42,$18.91,$21.98
1722,Georgia,Miller County,$13.78,$26.53,$32.03,$39.88,$22.43,$26.51,$30.16,$31.55,$11.21,$14.67,$17.91,$20.03
1725,Georgia,Mitchell County,$13.54,$26.25,$31.74,$39.76,$22.18,$26.23,$29.87,$31.43,$11.09,$14.53,$17.77,$19.97
1728,Georgia,Monroe County,$13.10,$26.74,$32.23,$40.27,$22.61,$26.72,$30.36,$31.95,$11.31,$14.77,$18.02,$20.22
1731,Georgia,Montgomery County,$13.54,$26.25,$31.74,$40.42,$22.18,$26.23,$29.87,$32.10,$11.09,$14.53,$17.77,$20.30
1734,Georgia,Morgan County,$15.19,$28.68,$34.67,$43.94,$23.87,$28.15,$31.80,$34.11,$11.93,$15.74,$19.24,$22.06
1737,Georgia,Murray County,$13.34,$27.07,$33.06,$41.59,$21.90,$26.54,$30.18,$31.76,$10.95,$14.94,$18.43,$20.88
1740,Georgia,Muscogee County,$13.82,$27.76,$33.75,$42.84,$22.89,$27.23,$30.88,$33.00,$11.44,$15.28,$18.77,$21.51
1743,Georgia,Newton County,$16.72,$30.47,$36.47,$45.92,$25.45,$29.94,$33.59,$36.08,$12.72,$16.64,$20.13,$23.05
1746,Georgia,Oconee County,$14.51,$28.18,$34.17,$43.48,$23.27,$27.65,$31.29,$33.64,$11.63,$15.49,$18.98,$21.83
1749,Georgia,Oglethorpe County,$14.51,$27.67,$33.16,$41.97,$23.27,$27.65,$31.29,$33.64,$11.63,$15.24,$18.48,$21.07
1752,Georgia,Paulding County,$16.72,$31.70,$38.91,$49.58,$25.45,$29.94,$33.59,$36.08,$12.72,$17.25,$21.36,$24.88
1755,Georgia,Peach County,$13.17,$27.30,$33.29,$42.25,$22.03,$26.77,$30.41,$32.41,$11.01,$15.05,$18.54,$21.21
1758,Georgia,Pickens County,$16.72,$29.97,$35.46,$44.41,$25.45,$29.94,$33.59,$36.08,$12.72,$16.39,$19.63,$22.29
1761,Georgia,Pierce County,$13.54,$26.25,$31.74,$40.08,$22.16,$26.23,$29.87,$31.76,$11.08,$14.53,$17.77,$20.13
1764,Georgia,Pike County,$16.72,$29.97,$35.46,$44.41,$25.45,$29.94,$33.59,$36.08,$12.72,$16.39,$19.63,$22.29
1767,Georgia,Polk County,$13.51,$26.82,$32.31,$40.49,$22.05,$26.79,$30.44,$32.16,$11.03,$14.81,$18.06,$20.33
1770,Georgia,Pulaski County,$13.11,$26.76,$32.75,$41.95,$22.18,$26.23,$29.87,$32.12,$11.09,$14.78,$18.27,$21.06
1773,Georgia,Putnam County,$14.26,$27.59,$33.59,$42.08,$22.92,$27.06,$30.71,$32.24,$11.46,$15.20,$18.69,$21.13
1776,Georgia,Quitman County,$13.23,$26.25,$31.74,$40.44,$21.78,$26.23,$29.87,$32.12,$10.89,$14.53,$17.77,$20.31
1779,Georgia,Rabun County,$13.31,$26.56,$32.05,$40.04,$21.86,$26.54,$30.18,$31.71,$10.93,$14.68,$17.93,$20.11
1782,Georgia,Randolph County,$13.23,$26.46,$31.95,$39.78,$21.78,$26.43,$30.08,$31.46,$10.89,$14.63,$17.88,$19.98
1785,Georgia,Richmond County,$14.50,$28.18,$34.17,$43.52,$23.26,$27.65,$31.29,$33.68,$11.63,$15.49,$18.98,$21.85
1788,Georgia,Rockdale County,$16.72,$31.70,$38.91,$49.58,$25.45,$29.94,$33.59,$36.08,$12.72,$17.25,$21.36,$24.88
1791,Georgia,Schley County,$13.08,$26.25,$31.74,$40.44,$21.62,$26.23,$29.87,$32.12,$10.81,$14.53,$17.77,$20.31
1794,Georgia,Screven County,$13.08,$26.25,$31.74,$39.90,$21.62,$26.23,$29.87,$31.58,$10.81,$14.53,$17.77,$20.04
1797,Georgia,Seminole County,$13.31,$26.56,$32.05,$40.02,$21.85,$26.53,$30.18,$31.69,$10.92,$14.68,$17.92,$20.10
1800,Georgia,Spalding County,$16.72,$30.47,$36.47,$45.92,$25.45,$29.94,$33.59,$36.08,$12.72,$16.64,$20.13,$23.05
1803,Georgia,Stephens County,$13.08,$26.25,$31.74,$40.44,$21.62,$26.23,$29.87,$32.12,$10.81,$14.53,$17.77,$20.31
1806,Georgia,Stewart County,$13.08,$26.25,$31.74,$39.52,$21.62,$26.23,$29.87,$31.20,$10.81,$14.53,$17.77,$19.85
1809,Georgia,Sumter County,$13.40,$26.68,$32.17,$40.06,$21.94,$26.65,$30.30,$31.73,$10.97,$14.74,$17.98,$20.12
1812,Georgia,Talbot County,$13.28,$26.30,$31.79,$39.85,$21.82,$26.28,$29.92,$31.52,$10.91,$14.55,$17.80,$20.01
1815,Georgia,Taliaferro County,$13.38,$26.41,$31.90,$39.75,$21.93,$26.38,$30.03,$31.43,$10.96,$14.61,$17.85,$19.96
1818,Georgia,Tattnall County,$13.54,$26.25,$31.74,$40.40,$22.18,$26.23,$29.87,$32.08,$11.09,$14.53,$17.77,$20.29
1821,Georgia,Taylor County,$12.80,$26.25,$31.74,$39.80,$22.18,$26.23,$29.87,$31.48,$11.09,$14.53,$17.77,$19.99
1824,Georgia,Telfair County,$12.76,$26.25,$31.74,$39.52,$21.78,$26.23,$29.87,$31.20,$10.89,$14.53,$17.77,$19.85
1827,Georgia,Terrell County,$13.87,$26.89,$32.39,$40.63,$22.55,$26.87,$30.52,$32.31,$11.27,$14.85,$18.09,$20.40
1830,Georgia,Thomas County,$13.77,$27.18,$32.67,$40.73,$22.32,$27.15,$30.80,$32.41,$11.16,$14.99,$18.23,$20.45
1833,Georgia,Tift County,$13.24,$26.76,$32.75,$41.03,$21.78,$26.23,$29.87,$31.20,$10.89,$14.78,$18.27,$20.60
1836,Georgia,Toombs County,$13.08,$26.25,$31.74,$39.82,$21.69,$26.23,$29.87,$31.50,$10.85,$14.53,$17.77,$20.00
1839,Georgia,Towns County,$13.77,$26.66,$32.16,$40.53,$22.31,$26.64,$30.29,$32.21,$11.16,$14.73,$17.98,$20.35
1842,Georgia,Treutlen County,$13.23,$26.25,$31.74,$40.33,$21.78,$26.23,$29.87,$32.00,$10.89,$14.53,$17.77,$20.25
1845,Georgia,Troup County,$13.81,$27.73,$33.72,$43.01,$22.36,$27.20,$30.85,$33.17,$11.18,$15.27,$18.76,$21.59
1848,Georgia,Turner County,$13.23,$26.25,$31.74,$39.52,$21.78,$26.23,$29.87,$31.20,$10.89,$14.53,$17.77,$19.85
1851,Georgia,Twiggs County,$13.16,$27.12,$32.61,$40.89,$22.94,$27.09,$30.74,$32.57,$11.47,$14.96,$18.20,$20.53
1854,Georgia,Union County,$13.34,$26.38,$31.87,$40.01,$21.88,$26.36,$30.00,$31.69,$10.94,$14.59,$17.84,$20.09
1857,Georgia,Upson County,$12.77,$26.52,$32.01,$39.94,$21.89,$26.49,$30.14,$31.61,$10.95,$14.66,$17.90,$20.06
1860,Georgia,Walker County,$13.85,$27.56,$33.05,$41.47,$23.00,$27.53,$31.18,$33.14,$11.50,$15.18,$18.42,$20.82
1863,Georgia,Walton County,$16.72,$30.47,$36.47,$45.92,$25.45,$29.94,$33.59,$36.08,$12.72,$16.64,$20.13,$23.05
1866,Georgia,Ware County,$12.59,$26.25,$31.74,$40.29,$21.62,$26.23,$29.87,$31.96,$10.81,$14.53,$17.77,$20.23
1869,Georgia,Warren County,$13.08,$26.25,$31.74,$39.88,$21.62,$26.23,$29.87,$31.56,$10.81,$14.53,$17.77,$20.03
1872,Georgia,Washington County,$13.54,$26.25,$31.74,$40.05,$22.18,$26.23,$29.87,$31.72,$11.09,$14.53,$17.77,$20.11
1875,Georgia,Wayne County,$13.08,$26.25,$31.74,$40.09,$21.62,$26.23,$29.87,$31.77,$10.81,$14.53,$17.77,$20.13
1878,Georgia,Webster County,$13.23,$26.25,$31.74,$39.52,$21.78,$26.23,$29.87,$31.20,$10.89,$14.53,$17.77,$19.85
1881,Georgia,Wheeler County,$13.23,$26.25,$31.74,$40.44,$21.78,$26.23,$29.87,$32.12,$10.89,$14.53,$17.77,$20.31
1884,Georgia,White County,$13.62,$26.74,$32.23,$40.52,$22.17,$26.71,$30.36,$32.19,$11.08,$14.77,$18.01,$20.35
1887,Georgia,Whitfield County,$13.44,$27.28,$33.28,$42.37,$22.41,$26.75,$30.40,$32.53,$11.21,$15.04,$18.54,$21.27
1890,Georgia,Wilcox County,$13.23,$26.25,$31.74,$39.52,$21.80,$26.23,$29.87,$31.20,$10.90,$14.53,$17.77,$19.85
1893,Georgia,Wilkes County,$13.22,$26.45,$31.94,$39.90,$21.77,$26.42,$30.07,$31.57,$10.88,$14.63,$17.87,$20.04
1896,Georgia,Wilkinson County,$13.24,$26.26,$31.75,$39.53,$21.78,$26.23,$29.88,$31.20,$10.89,$14.53,$17.77,$19.85
1899,Georgia,Worth County,$13.87,$26.89,$32.39,$40.63,$22.55,$26.87,$30.52,$32.31,$11.27,$14.85,$18.09,$20.40
1902,Georgia,"Albany, GA",$13.85,$27.36,$33.31,$42.06,$22.53,$26.87,$30.51,$32.34,$11.18,$15.08,$18.55,$21.12
1905,Georgia,"Athens-Clarke County, GA",$14.40,$28.03,$33.98,$43.25,$23.15,$27.53,$31.18,$33.53,$11.46,$15.42,$18.89,$21.71
1908,Georgia,"Atlanta-Sandy Springs-Roswell, GA",$16.56,$31.33,$38.33,$48.79,$25.29,$29.79,$33.44,$35.92,$12.54,$17.07,$21.07,$24.48
1911,Georgia,"Augusta-Richmond County, GA",$14.38,$27.96,$33.88,$43.14,$23.13,$27.51,$31.16,$33.55,$11.45,$15.38,$18.84,$21.66
1914,Georgia,"Brunswick, GA",$14.13,$27.47,$33.33,$42.53,$22.68,$27.08,$30.73,$33.12,$11.33,$15.14,$18.56,$21.35
1917,Georgia,"Columbus, GA",$13.53,$27.34,$33.26,$42.20,$22.58,$26.89,$30.54,$32.59,$11.03,$15.07,$18.53,$21.19
1920,Georgia,"Dalton, GA",$13.30,$27.11,$33.10,$42.04,$22.16,$26.58,$30.23,$32.20,$10.91,$14.96,$18.45,$21.11
1923,Georgia,"Gainesville, GA",$14.47,$29.64,$36.86,$47.35,$23.63,$27.89,$31.54,$33.85,$11.49,$16.22,$20.33,$23.76
1926,Georgia,"Hinesville, GA",$14.25,$27.89,$33.77,$43.46,$23.17,$27.48,$31.13,$33.97,$11.38,$15.35,$18.78,$21.82
1929,Georgia,"Macon-Bibb County, GA",$13.03,$27.36,$33.25,$41.90,$22.78,$26.93,$30.58,$32.38,$10.78,$15.08,$18.52,$21.04
1932,Georgia,"Rome, GA",$13.81,$27.39,$33.39,$42.37,$22.36,$26.86,$30.51,$32.54,$11.17,$15.10,$18.59,$21.27
1935,Georgia,"Savannah, GA",$15.46,$29.23,$35.22,$45.05,$24.34,$28.70,$32.35,$35.22,$11.99,$16.02,$19.51,$22.61
1938,Georgia,"Valdosta, GA",$13.38,$27.04,$32.93,$42.15,$21.92,$26.61,$30.26,$32.62,$10.95,$14.92,$18.36,$21.16
1941,Georgia,"Warner Robins, GA",$14.40,$28.72,$34.92,$44.22,$23.61,$27.98,$31.63,$33.76,$11.46,$15.76,$19.36,$22.20
1944,Hawaii,Hawaii County,$16.48,$34.46,$42.25,$53.95,$27.31,$32.73,$36.66,$39.86,$13.65,$18.79,$23.18,$27.21
1947,Hawaii,Honolulu County,$20.61,$40.44,$48.79,$65.39,$31.43,$38.15,$42.08,$49.62,$15.71,$21.78,$26.45,$32.92
1950,Hawaii,Kalawao County,$19.15,$35.41,$41.71,$54.64,$29.60,$35.18,$39.10,$45.02,$14.80,$19.27,$22.91,$27.55
1953,Hawaii,Kauai County,$18.79,$37.90,$45.79,$60.13,$30.53,$36.08,$40.01,$45.75,$15.26,$20.51,$24.95,$30.29
1956,Hawaii,Maui County,$19.15,$36.70,$44.29,$58.50,$29.60,$35.18,$39.10,$45.02,$14.80,$19.91,$24.20,$29.48
1959,Hawaii,"Kahului-Wailuku-Lahaina, HI",$18.79,$36.24,$43.83,$58.05,$29.14,$34.72,$38.65,$44.57,$14.13,$19.69,$23.97,$29.25
1962,Hawaii,"Urban Honolulu, HI",$20.25,$39.98,$48.33,$64.93,$30.96,$37.69,$41.62,$49.16,$14.86,$21.55,$26.22,$32.69
1965,Idaho,Ada County,$14.29,$29.20,$36.25,$47.42,$24.01,$28.15,$32.03,$35.45,$12.00,$16.15,$20.16,$23.94
1968,Idaho,Adams County,$13.65,$26.39,$32.31,$41.38,$22.74,$26.48,$30.37,$32.82,$11.37,$14.74,$18.19,$20.92
1971,Idaho,Bannock County,$13.47,$26.81,$32.73,$42.07,$22.81,$26.90,$30.78,$33.52,$11.41,$14.95,$18.40,$21.26
1974,Idaho,Bear Lake County,$13.65,$26.39,$32.31,$41.69,$22.49,$26.48,$30.37,$33.13,$11.25,$14.74,$18.19,$21.07
1977,Idaho,Benewah County,$14.04,$27.34,$33.68,$43.42,$22.89,$27.00,$30.89,$33.59,$11.45,$15.22,$18.87,$21.94
1980,Idaho,Bingham County,$13.82,$26.61,$32.53,$41.39,$22.66,$26.70,$30.59,$32.84,$11.33,$14.85,$18.30,$20.92
1983,Idaho,Blaine County,$14.77,$29.94,$36.99,$47.66,$24.32,$28.89,$32.77,$35.69,$12.16,$16.52,$20.53,$24.06
1986,Idaho,Boise County,$14.29,$29.20,$36.25,$47.42,$24.01,$28.15,$32.03,$35.45,$12.00,$16.15,$20.16,$23.94
1989,Idaho,Bonner County,$14.27,$28.23,$35.28,$45.89,$23.11,$27.18,$31.06,$33.91,$11.56,$15.66,$19.67,$23.17
1992,Idaho,Bonneville County,$13.62,$28.10,$35.16,$45.93,$23.25,$27.06,$30.94,$33.96,$11.63,$15.60,$19.61,$23.19
1995,Idaho,Boundary County,$13.65,$26.82,$33.16,$42.95,$22.49,$26.48,$30.37,$33.13,$11.25,$14.95,$18.61,$21.70
1998,Idaho,Butte County,$13.64,$27.00,$32.92,$42.57,$22.96,$27.09,$30.97,$34.01,$11.48,$15.05,$18.49,$21.51
2001,Idaho,Camas County,$13.65,$26.39,$32.31,$41.69,$22.52,$26.48,$30.37,$33.13,$11.26,$14.74,$18.19,$21.07
2004,Idaho,Canyon County,$14.29,$28.48,$34.82,$45.27,$24.01,$28.15,$32.03,$35.45,$12.00,$15.79,$19.44,$22.86
2007,Idaho,Caribou County,$13.65,$26.39,$32.31,$40.82,$22.49,$26.48,$30.37,$32.26,$11.25,$14.74,$18.19,$20.64
2010,Idaho,Cassia County,$13.68,$26.85,$33.19,$42.93,$22.58,$26.52,$30.40,$33.10,$11.29,$14.97,$18.63,$21.69
2013,Idaho,Clark County,$13.96,$26.80,$32.72,$42.02,$22.83,$26.89,$30.78,$33.47,$11.42,$14.95,$18.39,$21.24
2016,Idaho,Clearwater County,$14.02,$27.32,$33.66,$42.80,$22.88,$26.99,$30.87,$32.97,$11.44,$15.21,$18.86,$21.63
2019,Idaho,Custer County,$13.73,$27.64,$34.69,$45.25,$22.58,$26.59,$30.47,$33.28,$11.29,$15.36,$19.38,$22.85
2022,Idaho,Elmore County,$14.08,$27.40,$33.74,$43.58,$23.02,$27.07,$30.95,$33.75,$11.51,$15.25,$18.90,$22.02
2025,Idaho,Franklin County,$13.21,$26.83,$33.17,$42.97,$22.68,$26.50,$30.38,$33.14,$11.34,$14.96,$18.62,$21.71
2028,Idaho,Fremont County,$13.84,$26.64,$32.56,$41.28,$22.88,$26.73,$30.62,$32.73,$11.44,$14.87,$18.31,$20.87
2031,Idaho,Gem County,$13.87,$27.84,$34.18,$43.56,$23.27,$27.51,$31.39,$33.73,$11.64,$15.47,$19.12,$22.00
2034,Idaho,Gooding County,$13.65,$26.39,$32.31,$41.69,$22.52,$26.48,$30.37,$33.13,$11.26,$14.74,$18.19,$21.07
2037,Idaho,Idaho County,$13.65,$26.39,$32.31,$41.19,$22.49,$26.48,$30.37,$32.64,$11.25,$14.74,$18.19,$20.82
2040,Idaho,Jefferson County,$13.62,$26.97,$32.88,$42.51,$23.25,$27.06,$30.94,$33.96,$11.63,$15.03,$18.47,$21.48
2043,Idaho,Jerome County,$13.55,$26.93,$32.84,$41.33,$22.94,$27.02,$30.90,$32.77,$11.47,$15.01,$18.45,$20.89
2046,Idaho,Kootenai County,$14.79,$28.38,$34.72,$45.21,$23.84,$28.05,$31.93,$35.38,$11.92,$15.74,$19.39,$22.83
2049,Idaho,Latah County,$13.70,$27.87,$34.92,$45.59,$22.97,$26.82,$30.70,$33.61,$11.49,$15.48,$19.49,$23.02
