,State,County,Min_Wage
2126,Illinois,Boone County,$10.00
2129,Illinois,Brown County,$10.00
2132,Illinois,Bureau County,$10.00
2135,Illinois,Calhoun County,$10.00
2138,Illinois,Carroll County,$10.00
2141,Illinois,Cass County,$10.00
2144,Illinois,Champaign County,$10.00
2147,Illinois,Christian County,$10.00
2150,Illinois,Clark County,$10.00
2153,Illinois,Clay County,$10.00
2156,Illinois,Clinton County,$10.00
2159,Illinois,Coles County,$10.00
2162,Illinois,Cook County,$10.00
2165,Illinois,Crawford County,$10.00
2168,Illinois,Cumberland County,$10.00
2171,Illinois,DeKalb County,$10.00
2174,Illinois,De Witt County,$10.00
2177,Illinois,Douglas County,$10.00
2180,Illinois,DuPage County,$10.00
2183,Illinois,Edgar County,$10.00
2186,Illinois,Edwards County,$10.00
2189,Illinois,Effingham County,$10.00
2192,Illinois,Fayette County,$10.00
2195,Illinois,Ford County,$10.00
2198,Illinois,Franklin County,$10.00
2201,Illinois,Fulton County,$10.00
2204,Illinois,Gallatin County,$10.00
2207,Illinois,Greene County,$10.00
2210,Illinois,Grundy County,$10.00
2213,Illinois,Hamilton County,$10.00
2216,Illinois,Hancock County,$10.00
2219,Illinois,Hardin County,$10.00
2222,Illinois,Henderson County,$10.00
2225,Illinois,Henry County,$10.00
2228,Illinois,Iroquois County,$10.00
2231,Illinois,Jackson County,$10.00
2234,Illinois,Jasper County,$10.00
2237,Illinois,Jefferson County,$10.00
2240,Illinois,Jersey County,$10.00
2243,Illinois,Jo Daviess County,$10.00
2246,Illinois,Johnson County,$10.00
2249,Illinois,Kane County,$10.00
2252,Illinois,Kankakee County,$10.00
2255,Illinois,Kendall County,$10.00
2258,Illinois,Knox County,$10.00
2261,Illinois,Lake County,$10.00
2264,Illinois,La Salle County,$10.00
2267,Illinois,Lawrence County,$10.00
2270,Illinois,Lee County,$10.00
2273,Illinois,Livingston County,$10.00
2276,Illinois,Logan County,$10.00
2279,Illinois,Macon County,$10.00
2282,Illinois,Macoupin County,$10.00
2285,Illinois,Madison County,$10.00
2288,Illinois,Marion County,$10.00
2291,Illinois,Marshall County,$10.00
2294,Illinois,Mason County,$10.00
2297,Illinois,Massac County,$10.00
2300,Illinois,McDonough County,$10.00
2303,Illinois,McHenry County,$10.00
2306,Illinois,McLean County,$10.00
2309,Illinois,Menard County,$10.00
2312,Illinois,Mercer County,$10.00
2315,Illinois,Monroe County,$10.00
2318,Illinois,Montgomery County,$10.00
2321,Illinois,Morgan County,$10.00
2324,Illinois,Moultrie County,$10.00
2327,Illinois,Ogle County,$10.00
2330,Illinois,Peoria County,$10.00
2333,Illinois,Perry County,$10.00
2336,Illinois,Piatt County,$10.00
2339,Illinois,Pike County,$10.00
2342,Illinois,Pope County,$10.00
2345,Illinois,Pulaski County,$10.00
2348,Illinois,Putnam County,$10.00
2351,Illinois,Randolph County,$10.00
2354,Illinois,Richland County,$10.00
2357,Illinois,Rock Island County,$10.00
2360,Illinois,Saline County,$10.00
2363,Illinois,Sangamon County,$10.00
2366,Illinois,Schuyler County,$10.00
2369,Illinois,Scott County,$10.00
2372,Illinois,Shelby County,$10.00
2375,Illinois,Stark County,$10.00
2378,Illinois,St. Clair County,$10.00
2381,Illinois,Stephenson County,$10.00
2384,Illinois,Tazewell County,$10.00
2387,Illinois,Union County,$10.00
2390,Illinois,Vermilion County,$10.00
2393,Illinois,Wabash County,$10.00
2396,Illinois,Warren County,$10.00
2399,Illinois,Washington County,$10.00
2402,Illinois,Wayne County,$10.00
2405,Illinois,White County,$10.00
2408,Illinois,Whiteside County,$10.00
2411,Illinois,Will County,$10.00
2414,Illinois,Williamson County,$10.00
2417,Illinois,Winnebago County,$10.00
2420,Illinois,Woodford County,$10.00
2423,Illinois,"Bloomington, IL",$10.00
2426,Illinois,"Carbondale-Marion, IL",$10.00
2429,Illinois,"Champaign-Urbana, IL",$10.00
2432,Illinois,"Chicago-Naperville-Elgin, IL",$10.00
2435,Illinois,"Danville, IL",$10.00
2438,Illinois,"Decatur, IL",$10.00
2441,Illinois,"Kankakee, IL",$10.00
2444,Illinois,"Peoria, IL",$10.00
2447,Illinois,"Rockford, IL",$10.00
2450,Illinois,"Springfield, IL",$10.00
2453,Indiana,Adams County,$7.25
2456,Indiana,Allen County,$7.25
2459,Indiana,Bartholomew County,$7.25
2462,Indiana,Benton County,$7.25
2465,Indiana,Blackford County,$7.25
2468,Indiana,Boone County,$7.25
2471,Indiana,Brown County,$7.25
2474,Indiana,Carroll County,$7.25
2477,Indiana,Cass County,$7.25
2480,Indiana,Clark County,$7.25
2483,Indiana,Clay County,$7.25
2486,Indiana,Clinton County,$7.25
2489,Indiana,Crawford County,$7.25
2492,Indiana,Daviess County,$7.25
2495,Indiana,Dearborn County,$7.25
2498,Indiana,Decatur County,$7.25
2501,Indiana,DeKalb County,$7.25
2504,Indiana,Delaware County,$7.25
2507,Indiana,Dubois County,$7.25
2510,Indiana,Elkhart County,$7.25
2513,Indiana,Fayette County,$7.25
2516,Indiana,Floyd County,$7.25
2519,Indiana,Fountain County,$7.25
2522,Indiana,Franklin County,$7.25
2525,Indiana,Fulton County,$7.25
2528,Indiana,Gibson County,$7.25
2531,Indiana,Grant County,$7.25
2534,Indiana,Greene County,$7.25
2537,Indiana,Hamilton County,$7.25
2540,Indiana,Hancock County,$7.25
2543,Indiana,Harrison County,$7.25
2546,Indiana,Hendricks County,$7.25
2549,Indiana,Henry County,$7.25
2552,Indiana,Howard County,$7.25
2555,Indiana,Huntington County,$7.25
2558,Indiana,Jackson County,$7.25
2561,Indiana,Jasper County,$7.25
2564,Indiana,Jay County,$7.25
2567,Indiana,Jefferson County,$7.25
2570,Indiana,Jennings County,$7.25
2573,Indiana,Johnson County,$7.25
2576,Indiana,Knox County,$7.25
2579,Indiana,Kosciusko County,$7.25
2582,Indiana,LaGrange County,$7.25
2585,Indiana,Lake County,$7.25
2588,Indiana,LaPorte County,$7.25
2591,Indiana,Lawrence County,$7.25
2594,Indiana,Madison County,$7.25
2597,Indiana,Marion County,$7.25
2600,Indiana,Marshall County,$7.25
2603,Indiana,Martin County,$7.25
2606,Indiana,Miami County,$7.25
2609,Indiana,Monroe County,$7.25
2612,Indiana,Montgomery County,$7.25
2615,Indiana,Morgan County,$7.25
2618,Indiana,Newton County,$7.25
2621,Indiana,Noble County,$7.25
2624,Indiana,Ohio County,$7.25
2627,Indiana,Orange County,$7.25
2630,Indiana,Owen County,$7.25
2633,Indiana,Parke County,$7.25
2636,Indiana,Perry County,$7.25
2639,Indiana,Pike County,$7.25
2642,Indiana,Porter County,$7.25
2645,Indiana,Posey County,$7.25
2648,Indiana,Pulaski County,$7.25
2651,Indiana,Putnam County,$7.25
2654,Indiana,Randolph County,$7.25
2657,Indiana,Ripley County,$7.25
2660,Indiana,Rush County,$7.25
2663,Indiana,Scott County,$7.25
2666,Indiana,Shelby County,$7.25
2669,Indiana,Spencer County,$7.25
2672,Indiana,Starke County,$7.25
2675,Indiana,Steuben County,$7.25
2678,Indiana,St. Joseph County,$7.25
2681,Indiana,Sullivan County,$7.25
2684,Indiana,Switzerland County,$7.25
2687,Indiana,Tippecanoe County,$7.25
2690,Indiana,Tipton County,$7.25
2693,Indiana,Union County,$7.25
2696,Indiana,Vanderburgh County,$7.25
2699,Indiana,Vermillion County,$7.25
2702,Indiana,Vigo County,$7.25
2705,Indiana,Wabash County,$7.25
2708,Indiana,Warren County,$7.25
2711,Indiana,Warrick County,$7.25
2714,Indiana,Washington County,$7.25
2717,Indiana,Wayne County,$7.25
2720,Indiana,Wells County,$7.25
2723,Indiana,White County,$7.25
2726,Indiana,Whitley County,$7.25
2729,Indiana,"Bloomington, IN",$7.25
2732,Indiana,"Columbus, IN",$7.25
2735,Indiana,"Elkhart-Goshen, IN",$7.25
2738,Indiana,"Evansville, IN",$7.25
2741,Indiana,"Fort Wayne, IN",$7.25
2744,Indiana,"Indianapolis-Carmel-Anderson, IN",$7.25
2747,Indiana,"Kokomo, IN",$7.25
2750,Indiana,"Lafayette-West Lafayette, IN",$7.25
2753,Indiana,"Michigan City-La Porte, IN",$7.25
2756,Indiana,"Muncie, IN",$7.25
2759,Indiana,"South Bend-Mishawaka, IN",$7.25
2762,Indiana,"Terre Haute, IN",$7.25
2765,Iowa,Adair County,$7.25
2768,Iowa,Adams County,$7.25
2771,Iowa,Allamakee County,$7.25
2774,Iowa,Appanoose County,$7.25
2777,Iowa,Audubon County,$7.25
2780,Iowa,Benton County,$7.25
2783,Iowa,Black Hawk County,$7.25
2786,Iowa,Boone County,$7.25
2789,Iowa,Bremer County,$7.25
2792,Iowa,Buchanan County,$7.25
2795,Iowa,Buena Vista County,$7.25
2798,Iowa,Butler County,$7.25
2801,Iowa,Calhoun County,$7.25
2804,Iowa,Carroll County,$7.25
2807,Iowa,Cass County,$7.25
2810,Iowa,Cedar County,$7.25
2813,Iowa,Cerro Gordo County,$7.25
2816,Iowa,Cherokee County,$7.25
2819,Iowa,Chickasaw County,$7.25
2822,Iowa,Clarke County,$7.25
2825,Iowa,Clay County,$7.25
2828,Iowa,Clayton County,$7.25
2831,Iowa,Clinton County,$7.25
2834,Iowa,Crawford County,$7.25
2837,Iowa,Dallas County,$7.25
2840,Iowa,Davis County,$7.25
2843,Iowa,Decatur County,$7.25
2846,Iowa,Delaware County,$7.25
2849,Iowa,Des Moines County,$7.25
2852,Iowa,Dickinson County,$7.25
2855,Iowa,Dubuque County,$7.25
2858,Iowa,Emmet County,$7.25
2861,Iowa,Fayette County,$7.25
2864,Iowa,Floyd County,$7.25
2867,Iowa,Franklin County,$7.25
2870,Iowa,Fremont County,$7.25
2873,Iowa,Greene County,$7.25
2876,Iowa,Grundy County,$7.25
2879,Iowa,Guthrie County,$7.25
2882,Iowa,Hamilton County,$7.25
2885,Iowa,Hancock County,$7.25
2888,Iowa,Hardin County,$7.25
2891,Iowa,Harrison County,$7.25
2894,Iowa,Henry County,$7.25
2897,Iowa,Howard County,$7.25
2900,Iowa,Humboldt County,$7.25
2903,Iowa,Ida County,$7.25
2906,Iowa,Iowa County,$7.25
2909,Iowa,Jackson County,$7.25
2912,Iowa,Jasper County,$7.25
2915,Iowa,Jefferson County,$7.25
2918,Iowa,Johnson County,$7.25
2921,Iowa,Jones County,$7.25
2924,Iowa,Keokuk County,$7.25
2927,Iowa,Kossuth County,$7.25
2930,Iowa,Lee County,$7.25
2933,Iowa,Linn County,$7.25
2936,Iowa,Louisa County,$7.25
2939,Iowa,Lucas County,$7.25
2942,Iowa,Lyon County,$7.25
2945,Iowa,Madison County,$7.25
2948,Iowa,Mahaska County,$7.25
2951,Iowa,Marion County,$7.25
2954,Iowa,Marshall County,$7.25
2957,Iowa,Mills County,$7.25
2960,Iowa,Mitchell County,$7.25
2963,Iowa,Monona County,$7.25
2966,Iowa,Monroe County,$7.25
2969,Iowa,Montgomery County,$7.25
2972,Iowa,Muscatine County,$7.25
2975,Iowa,O'Brien County,$7.25
2978,Iowa,Osceola County,$7.25
2981,Iowa,Page County,$7.25
2984,Iowa,Palo Alto County,$7.25
2987,Iowa,Plymouth County,$7.25
2990,Iowa,Pocahontas County,$7.25
2993,Iowa,Polk County,$7.25
2996,Iowa,Pottawattamie County,$7.25
2999,Iowa,Poweshiek County,$7.25
3002,Iowa,Ringgold County,$7.25
3005,Iowa,Sac County,$7.25
3008,Iowa,Scott County,$7.25
3011,Iowa,Shelby County,$7.25
3014,Iowa,Sioux County,$7.25
3017,Iowa,Story County,$7.25
3020,Iowa,Tama County,$7.25
3023,Iowa,Taylor County,$7.25
3026,Iowa,Union County,$7.25
3029,Iowa,Van Buren County,$7.25
3032,Iowa,Wapello County,$7.25
3035,Iowa,Warren County,$7.25
3038,Iowa,Washington County,$7.25
3041,Iowa,Wayne County,$7.25
3044,Iowa,Webster County,$7.25
3047,Iowa,Winnebago County,$7.25
3050,Iowa,Winneshiek County,$7.25
3053,Iowa,Woodbury County,$7.25
3056,Iowa,Worth County,$7.25
3059,Iowa,Wright County,$7.25
3062,Iowa,"Ames, IA",$7.25
3065,Iowa,"Cedar Rapids, IA",$7.25
3068,Iowa,"Davenport-Moline-Rock Island, IA",$7.25
3071,Iowa,"Des Moines-West Des Moines, IA",$7.25
3074,Iowa,"Dubuque, IA",$7.25
3077,Iowa,"Iowa City, IA",$7.25
3080,Iowa,"Sioux City, IA",$7.25
3083,Iowa,"Waterloo-Cedar Falls, IA",$7.25
3086,Kansas,Allen County,$7.25
3089,Kansas,Anderson County,$7.25
3092,Kansas,Atchison County,$7.25
3095,Kansas,Barber County,$7.25
3098,Kansas,Barton County,$7.25
3101,Kansas,Bourbon County,$7.25
3104,Kansas,Brown County,$7.25
3107,Kansas,Butler County,$7.25
3110,Kansas,Chase County,$7.25
3113,Kansas,Chautauqua County,$7.25
3116,Kansas,Cherokee County,$7.25
3119,Kansas,Cheyenne County,$7.25
3122,Kansas,Clark County,$7.25
3125,Kansas,Clay County,$7.25
3128,Kansas,Cloud County,$7.25
3131,Kansas,Coffey County,$7.25
3134,Kansas,Comanche County,$7.25
3137,Kansas,Cowley County,$7.25
3140,Kansas,Crawford County,$7.25
3143,Kansas,Decatur County,$7.25
3146,Kansas,Dickinson County,$7.25
3149,Kansas,Doniphan County,$7.25
3152,Kansas,Douglas County,$7.25
3155,Kansas,Edwards County,$7.25
3158,Kansas,Elk County,$7.25
3161,Kansas,Ellis County,$7.25
3164,Kansas,Ellsworth County,$7.25
3167,Kansas,Finney County,$7.25
3170,Kansas,Ford County,$7.25
3173,Kansas,Franklin County,$7.25
3176,Kansas,Geary County,$7.25
3179,Kansas,Gove County,$7.25
3182,Kansas,Graham County,$7.25
3185,Kansas,Grant County,$7.25
3188,Kansas,Gray County,$7.25
3191,Kansas,Greeley County,$7.25
3194,Kansas,Greenwood County,$7.25
3197,Kansas,Hamilton County,$7.25
3200,Kansas,Harper County,$7.25
3203,Kansas,Harvey County,$7.25
3206,Kansas,Haskell County,$7.25
3209,Kansas,Hodgeman County,$7.25
3212,Kansas,Jackson County,$7.25
3215,Kansas,Jefferson County,$7.25
3218,Kansas,Jewell County,$7.25
3221,Kansas,Johnson County,$7.25
3224,Kansas,Kearny County,$7.25
3227,Kansas,Kingman County,$7.25
3230,Kansas,Kiowa County,$7.25
3233,Kansas,Labette County,$7.25
3236,Kansas,Lane County,$7.25
3239,Kansas,Leavenworth County,$7.25
3242,Kansas,Lincoln County,$7.25
3245,Kansas,Linn County,$7.25
3248,Kansas,Logan County,$7.25
3251,Kansas,Lyon County,$7.25
3254,Kansas,Marion County,$7.25
3257,Kansas,Marshall County,$7.25
3260,Kansas,McPherson County,$7.25
3263,Kansas,Meade County,$7.25
3266,Kansas,Miami County,$7.25
3269,Kansas,Mitchell County,$7.25
3272,Kansas,Montgomery County,$7.25
3275,Kansas,Morris County,$7.25
3278,Kansas,Morton County,$7.25
3281,Kansas,Nemaha County,$7.25
3284,Kansas,Neosho County,$7.25
3287,Kansas,Ness County,$7.25
3290,Kansas,Norton County,$7.25
3293,Kansas,Osage County,$7.25
3296,Kansas,Osborne County,$7.25
3299,Kansas,Ottawa County,$7.25
3302,Kansas,Pawnee County,$7.25
3305,Kansas,Phillips County,$7.25
3308,Kansas,Pottawatomie County,$7.25
3311,Kansas,Pratt County,$7.25
3314,Kansas,Rawlins County,$7.25
3317,Kansas,Reno County,$7.25
3320,Kansas,Republic County,$7.25
3323,Kansas,Rice County,$7.25
3326,Kansas,Riley County,$7.25
3329,Kansas,Rooks County,$7.25
3332,Kansas,Rush County,$7.25
3335,Kansas,Russell County,$7.25
3338,Kansas,Saline County,$7.25
3341,Kansas,Scott County,$7.25
3344,Kansas,Sedgwick County,$7.25
3347,Kansas,Seward County,$7.25
3350,Kansas,Shawnee County,$7.25
3353,Kansas,Sheridan County,$7.25
3356,Kansas,Sherman County,$7.25
3359,Kansas,Smith County,$7.25
3362,Kansas,Stafford County,$7.25
3365,Kansas,Stanton County,$7.25
3368,Kansas,Stevens County,$7.25
3371,Kansas,Sumner County,$7.25
3374,Kansas,Thomas County,$7.25
3377,Kansas,Trego County,$7.25
3380,Kansas,Wabaunsee County,$7.25
3383,Kansas,Wallace County,$7.25
3386,Kansas,Washington County,$7.25
3389,Kansas,Wichita County,$7.25
3392,Kansas,Wilson County,$7.25
3395,Kansas,Woodson County,$7.25
3398,Kansas,Wyandotte County,$7.25
3401,Kansas,"Lawrence, KS",$7.25
3404,Kansas,"Manhattan, KS",$7.25
3407,Kansas,"Topeka, KS",$7.25
3410,Kansas,"Wichita, KS",$7.25
3413,Kentucky,Adair County,$7.25
3416,Kentucky,Allen County,$7.25
3419,Kentucky,Anderson County,$7.25
3422,Kentucky,Ballard County,$7.25
3425,Kentucky,Barren County,$7.25
3428,Kentucky,Bath County,$7.25
3431,Kentucky,Bell County,$7.25
3434,Kentucky,Boone County,$7.25
3437,Kentucky,Bourbon County,$7.25
3440,Kentucky,Boyd County,$7.25
3443,Kentucky,Boyle County,$7.25
3446,Kentucky,Bracken County,$7.25
3449,Kentucky,Breathitt County,$7.25
3452,Kentucky,Breckinridge County,$7.25
3455,Kentucky,Bullitt County,$7.25
3458,Kentucky,Butler County,$7.25
3461,Kentucky,Caldwell County,$7.25
3464,Kentucky,Calloway County,$7.25
3467,Kentucky,Campbell County,$7.25
3470,Kentucky,Carlisle County,$7.25
3473,Kentucky,Carroll County,$7.25
3476,Kentucky,Carter County,$7.25
3479,Kentucky,Casey County,$7.25
3482,Kentucky,Christian County,$7.25
3485,Kentucky,Clark County,$7.25
3488,Kentucky,Clay County,$7.25
3491,Kentucky,Clinton County,$7.25
3494,Kentucky,Crittenden County,$7.25
3497,Kentucky,Cumberland County,$7.25
3500,Kentucky,Daviess County,$7.25
3503,Kentucky,Edmonson County,$7.25
3506,Kentucky,Elliott County,$7.25
3509,Kentucky,Estill County,$7.25
3512,Kentucky,Fayette County,$7.25
3515,Kentucky,Fleming County,$7.25
3518,Kentucky,Floyd County,$7.25
3521,Kentucky,Franklin County,$7.25
3524,Kentucky,Fulton County,$7.25
3527,Kentucky,Gallatin County,$7.25
3530,Kentucky,Garrard County,$7.25
3533,Kentucky,Grant County,$7.25
3536,Kentucky,Graves County,$7.25
3539,Kentucky,Grayson County,$7.25
3542,Kentucky,Green County,$7.25
3545,Kentucky,Greenup County,$7.25
3548,Kentucky,Hancock County,$7.25
3551,Kentucky,Hardin County,$7.25
3554,Kentucky,Harlan County,$7.25
3557,Kentucky,Harrison County,$7.25
3560,Kentucky,Hart County,$7.25
3563,Kentucky,Henderson County,$7.25
3566,Kentucky,Henry County,$7.25
3569,Kentucky,Hickman County,$7.25
3572,Kentucky,Hopkins County,$7.25
3575,Kentucky,Jackson County,$7.25
3578,Kentucky,Jefferson County,$7.25
3581,Kentucky,Jessamine County,$7.25
3584,Kentucky,Johnson County,$7.25
3587,Kentucky,Kenton County,$7.25
3590,Kentucky,Knott County,$7.25
3593,Kentucky,Knox County,$7.25
3596,Kentucky,Larue County,$7.25
3599,Kentucky,Laurel County,$7.25
3602,Kentucky,Lawrence County,$7.25
3605,Kentucky,Lee County,$7.25
3608,Kentucky,Leslie County,$7.25
3611,Kentucky,Letcher County,$7.25
3614,Kentucky,Lewis County,$7.25
3617,Kentucky,Lincoln County,$7.25
3620,Kentucky,Livingston County,$7.25
3623,Kentucky,Logan County,$7.25
3626,Kentucky,Lyon County,$7.25
3629,Kentucky,Madison County,$7.25
3632,Kentucky,Magoffin County,$7.25
3635,Kentucky,Marion County,$7.25
3638,Kentucky,Marshall County,$7.25
3641,Kentucky,Martin County,$7.25
3644,Kentucky,Mason County,$7.25
3647,Kentucky,McCracken County,$7.25
3650,Kentucky,McCreary County,$7.25
3653,Kentucky,McLean County,$7.25
3656,Kentucky,Meade County,$7.25
3659,Kentucky,Menifee County,$7.25
3662,Kentucky,Mercer County,$7.25
3665,Kentucky,Metcalfe County,$7.25
3668,Kentucky,Monroe County,$7.25
3671,Kentucky,Montgomery County,$7.25
3674,Kentucky,Morgan County,$7.25
3677,Kentucky,Muhlenberg County,$7.25
3680,Kentucky,Nelson County,$7.25
3683,Kentucky,Nicholas County,$7.25
3686,Kentucky,Ohio County,$7.25
3689,Kentucky,Oldham County,$7.25
3692,Kentucky,Owen County,$7.25
3695,Kentucky,Owsley County,$7.25
3698,Kentucky,Pendleton County,$7.25
3701,Kentucky,Perry County,$7.25
3704,Kentucky,Pike County,$7.25
3707,Kentucky,Powell County,$7.25
3710,Kentucky,Pulaski County,$7.25
3713,Kentucky,Robertson County,$7.25
3716,Kentucky,Rockcastle County,$7.25
3719,Kentucky,Rowan County,$7.25
3722,Kentucky,Russell County,$7.25
3725,Kentucky,Scott County,$7.25
3728,Kentucky,Shelby County,$7.25
3731,Kentucky,Simpson County,$7.25
3734,Kentucky,Spencer County,$7.25
3737,Kentucky,Taylor County,$7.25
3740,Kentucky,Todd County,$7.25
3743,Kentucky,Trigg County,$7.25
3746,Kentucky,Trimble County,$7.25
3749,Kentucky,Union County,$7.25
3752,Kentucky,Warren County,$7.25
3755,Kentucky,Washington County,$7.25
3758,Kentucky,Wayne County,$7.25
3761,Kentucky,Webster County,$7.25
3764,Kentucky,Whitley County,$7.25
3767,Kentucky,Wolfe County,$7.25
3770,Kentucky,Woodford County,$7.25
3773,Kentucky,"Bowling Green, KY",$7.25
3776,Kentucky,"Elizabethtown-Fort Knox, KY",$7.25
3779,Kentucky,"Lexington-Fayette, KY",$7.25
3782,Kentucky,"Louisville/Jefferson County, KY",$7.25
3785,Kentucky,"Owensboro, KY",$7.25
3788,Louisiana,Acadia Parish,$7.25
3791,Louisiana,Allen Parish,$7.25
3794,Louisiana,Ascension Parish,$7.25
3797,Louisiana,Assumption Parish,$7.25
3800,Louisiana,Avoyelles Parish,$7.25
3803,Louisiana,Beauregard Parish,$7.25
3806,Louisiana,Bienville Parish,$7.25
3809,Louisiana,Bossier Parish,$7.25
3812,Louisiana,Caddo Parish,$7.25
3815,Louisiana,Calcasieu Parish,$7.25
3818,Louisiana,Caldwell Parish,$7.25
3821,Louisiana,Cameron Parish,$7.25
3824,Louisiana,Catahoula Parish,$7.25
3827,Louisiana,Claiborne Parish,$7.25
3830,Louisiana,Concordia Parish,$7.25
3833,Louisiana,De Soto Parish,$7.25
3836,Louisiana,East Baton Rouge Parish,$7.25
3839,Louisiana,East Carroll Parish,$7.25
3842,Louisiana,East Feliciana Parish,$7.25
3845,Louisiana,Evangeline Parish,$7.25
3848,Louisiana,Franklin Parish,$7.25
3851,Louisiana,Grant Parish,$7.25
3854,Louisiana,Iberia Parish,$7.25
3857,Louisiana,Iberville Parish,$7.25
3860,Louisiana,Jackson Parish,$7.25
3863,Louisiana,Jefferson Davis Parish,$7.25
3866,Louisiana,Jefferson Parish,$7.25
3869,Louisiana,Lafayette Parish,$7.25
3872,Louisiana,Lafourche Parish,$7.25
3875,Louisiana,La Salle Parish,$7.25
3878,Louisiana,Lincoln Parish,$7.25
3881,Louisiana,Livingston Parish,$7.25
3884,Louisiana,Madison Parish,$7.25
3887,Louisiana,Morehouse Parish,$7.25
3890,Louisiana,Natchitoches Parish,$7.25
3893,Louisiana,Orleans Parish,$7.25
3896,Louisiana,Ouachita Parish,$7.25
3899,Louisiana,Plaquemines Parish,$7.25
3902,Louisiana,Pointe Coupee Parish,$7.25
3905,Louisiana,Rapides Parish,$7.25
3908,Louisiana,Red River Parish,$7.25
3911,Louisiana,Richland Parish,$7.25
3914,Louisiana,Sabine Parish,$7.25
3917,Louisiana,St. Bernard Parish,$7.25
3920,Louisiana,St. Charles Parish,$7.25
3923,Louisiana,St. Helena Parish,$7.25
3926,Louisiana,St. James Parish,$7.25
3929,Louisiana,St. John the Baptist Parish,$7.25
3932,Louisiana,St. Landry Parish,$7.25
3935,Louisiana,St. Martin Parish,$7.25
3938,Louisiana,St. Mary Parish,$7.25
3941,Louisiana,St. Tammany Parish,$7.25
3944,Louisiana,Tangipahoa Parish,$7.25
3947,Louisiana,Tensas Parish,$7.25
3950,Louisiana,Terrebonne Parish,$7.25
3953,Louisiana,Union Parish,$7.25
3956,Louisiana,Vermilion Parish,$7.25
3959,Louisiana,Vernon Parish,$7.25
3962,Louisiana,Washington Parish,$7.25
3965,Louisiana,Webster Parish,$7.25
3968,Louisiana,West Baton Rouge Parish,$7.25
3971,Louisiana,West Carroll Parish,$7.25
3974,Louisiana,West Feliciana Parish,$7.25
3977,Louisiana,Winn Parish,$7.25
3980,Louisiana,"Alexandria, LA",$7.25
3983,Louisiana,"Baton Rouge, LA",$7.25
3986,Louisiana,"Hammond, LA",$7.25
3989,Louisiana,"Houma-Thibodaux, LA",$7.25
3992,Louisiana,"Lafayette, LA",$7.25
3995,Louisiana,"Lake Charles, LA",$7.25
3998,Louisiana,"Monroe, LA",$7.25
4001,Louisiana,"New Orleans-Metairie, LA",$7.25
4004,Louisiana,"Shreveport-Bossier City, LA",$7.25
4007,Maine,Androscoggin County,$12.00
4010,Maine,Aroostook County,$12.00
4013,Maine,Cumberland County,$12.00
4016,Maine,Franklin County,$12.00
4019,Maine,Hancock County,$12.00
4022,Maine,Kennebec County,$12.00
4025,Maine,Knox County,$12.00
4028,Maine,Lincoln County,$12.00
4031,Maine,Oxford County,$12.00
4034,Maine,Penobscot County,$12.00
4037,Maine,Piscataquis County,$12.00
4040,Maine,Sagadahoc County,$12.00
4043,Maine,Somerset County,$12.00
4046,Maine,Waldo County,$12.00
4049,Maine,Washington County,$12.00
4052,Maine,York County,$12.00
4055,Maine,"Bangor, ME",$12.00
4058,Maine,"Lewiston-Auburn, ME",$12.00
4061,Maine,"Portland-South Portland, ME",$12.00
4064,Maryland,Allegany County,$11.00
4067,Maryland,Anne Arundel County,$11.00
4070,Maryland,Baltimore city,$11.00
4073,Maryland,Baltimore County,$11.00
4076,Maryland,Calvert County,$11.00
4079,Maryland,Caroline County,$11.00
4082,Maryland,Carroll County,$11.00
4085,Maryland,Cecil County,$11.00
4088,Maryland,Charles County,$11.00
4091,Maryland,Dorchester County,$11.00
4094,Maryland,Frederick County,$11.00
4097,Maryland,Garrett County,$11.00
4100,Maryland,Harford County,$11.00
4103,Maryland,Howard County,$11.00
4106,Maryland,Kent County,$11.00
4109,Maryland,Montgomery County,$11.00
4112,Maryland,Prince George's County,$11.00
4115,Maryland,Queen Anne's County,$11.00
4118,Maryland,Somerset County,$11.00
4121,Maryland,St. Mary's County,$11.00
4124,Maryland,Talbot County,$11.00
4127,Maryland,Washington County,$11.00
4130,Maryland,Wicomico County,$11.00
4133,Maryland,Worcester County,$11.00
4136,Maryland,"Baltimore-Columbia-Towson, MD",$11.00
4139,Maryland,"California-Lexington Park, MD",$11.00
4142,Maryland,"Cumberland, MD",$11.00
4145,Maryland,"Hagerstown-Martinsburg, MD",$11.00
4148,Maryland,"Salisbury, MD",$11.00
4151,Massachusetts,Barnstable County,$12.75
4154,Massachusetts,Berkshire County,$12.75
4157,Massachusetts,Bristol County,$12.75
4160,Massachusetts,Dukes County,$12.75
4163,Massachusetts,Essex County,$12.75
4166,Massachusetts,Franklin County,$12.75
4169,Massachusetts,Hampden County,$12.75
4172,Massachusetts,Hampshire County,$12.75
4175,Massachusetts,Middlesex County,$12.75
4178,Massachusetts,Nantucket County,$12.75
4181,Massachusetts,Norfolk County,$12.75
4184,Massachusetts,Plymouth County,$12.75
4187,Massachusetts,Suffolk County,$12.75
4190,Massachusetts,Worcester County,$12.75
4193,Massachusetts,"Barnstable Town, MA",$12.75
4196,Massachusetts,"Boston-Cambridge-Newton, MA",$12.75
4199,Massachusetts,"Pittsfield, MA",$12.75
4202,Massachusetts,"Springfield, MA",$12.75
4205,Massachusetts,"Worcester, MA",$12.75
4208,Michigan,Alcona County,$9.65
