,Unnamed: 0_level_0,1 ADULT,1 ADULT,1 ADULT,1 ADULT,2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),State,County
0,Living Wage,$13.42,$26.48,$31.97,$40.77,$21.97,$26.45,$30.10,$32.44,$10.99,$14.64,$17.88,$20.47,Georgia,Long County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Long County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Long County
0,Living Wage,$13.49,$27.25,$33.25,$42.57,$22.04,$26.72,$30.37,$32.74,$11.02,$15.03,$18.52,$21.37,Georgia,Lowndes County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Lowndes County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Lowndes County
0,Living Wage,$14.12,$28.14,$34.13,$43.20,$22.67,$27.61,$31.26,$33.37,$11.34,$15.47,$18.97,$21.69,Georgia,Lumpkin County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Lumpkin County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Lumpkin County
0,Living Wage,$13.08,$26.25,$31.74,$39.52,$21.62,$26.23,$29.87,$31.20,$10.81,$14.53,$17.77,$19.85,Georgia,Macon County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Macon County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Macon County
0,Living Wage,$14.51,$28.18,$34.17,$43.48,$23.27,$27.65,$31.29,$33.64,$11.63,$15.49,$18.98,$21.83,Georgia,Madison County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Madison County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Madison County
0,Living Wage,$13.82,$27.25,$32.75,$41.33,$22.89,$27.23,$30.88,$33.00,$11.44,$15.03,$18.27,$20.75,Georgia,Marion County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Marion County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Marion County
0,Living Wage,$14.50,$28.18,$34.17,$43.52,$23.26,$27.65,$31.29,$33.68,$11.63,$15.49,$18.98,$21.85,Georgia,McDuffie County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,McDuffie County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,McDuffie County
0,Living Wage,$14.24,$27.23,$32.72,$41.56,$22.79,$27.20,$30.85,$33.24,$11.40,$15.02,$18.26,$20.87,Georgia,McIntosh County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,McIntosh County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,McIntosh County
0,Living Wage,$14.03,$28.02,$34.02,$43.79,$22.58,$27.49,$31.14,$33.95,$11.29,$15.42,$18.91,$21.98,Georgia,Meriwether County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Meriwether County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Meriwether County
0,Living Wage,$13.78,$26.53,$32.03,$39.88,$22.43,$26.51,$30.16,$31.55,$11.21,$14.67,$17.91,$20.03,Georgia,Miller County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Miller County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Miller County
0,Living Wage,$13.54,$26.25,$31.74,$39.76,$22.18,$26.23,$29.87,$31.43,$11.09,$14.53,$17.77,$19.97,Georgia,Mitchell County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Mitchell County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Mitchell County
0,Living Wage,$13.10,$26.74,$32.23,$40.27,$22.61,$26.72,$30.36,$31.95,$11.31,$14.77,$18.02,$20.22,Georgia,Monroe County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Monroe County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Monroe County
0,Living Wage,$13.54,$26.25,$31.74,$40.42,$22.18,$26.23,$29.87,$32.10,$11.09,$14.53,$17.77,$20.30,Georgia,Montgomery County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Montgomery County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Montgomery County
0,Living Wage,$15.19,$28.68,$34.67,$43.94,$23.87,$28.15,$31.80,$34.11,$11.93,$15.74,$19.24,$22.06,Georgia,Morgan County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Morgan County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Morgan County
0,Living Wage,$13.34,$27.07,$33.06,$41.59,$21.90,$26.54,$30.18,$31.76,$10.95,$14.94,$18.43,$20.88,Georgia,Murray County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Murray County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Murray County
0,Living Wage,$13.82,$27.76,$33.75,$42.84,$22.89,$27.23,$30.88,$33.00,$11.44,$15.28,$18.77,$21.51,Georgia,Muscogee County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Muscogee County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Muscogee County
0,Living Wage,$16.72,$30.47,$36.47,$45.92,$25.45,$29.94,$33.59,$36.08,$12.72,$16.64,$20.13,$23.05,Georgia,Newton County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Newton County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Newton County
0,Living Wage,$14.51,$28.18,$34.17,$43.48,$23.27,$27.65,$31.29,$33.64,$11.63,$15.49,$18.98,$21.83,Georgia,Oconee County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Oconee County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Oconee County
0,Living Wage,$14.51,$27.67,$33.16,$41.97,$23.27,$27.65,$31.29,$33.64,$11.63,$15.24,$18.48,$21.07,Georgia,Oglethorpe County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Oglethorpe County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Oglethorpe County
0,Living Wage,$16.72,$31.70,$38.91,$49.58,$25.45,$29.94,$33.59,$36.08,$12.72,$17.25,$21.36,$24.88,Georgia,Paulding County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Paulding County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Paulding County
0,Living Wage,$13.17,$27.30,$33.29,$42.25,$22.03,$26.77,$30.41,$32.41,$11.01,$15.05,$18.54,$21.21,Georgia,Peach County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Peach County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Peach County
0,Living Wage,$16.72,$29.97,$35.46,$44.41,$25.45,$29.94,$33.59,$36.08,$12.72,$16.39,$19.63,$22.29,Georgia,Pickens County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Pickens County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Pickens County
0,Living Wage,$13.54,$26.25,$31.74,$40.08,$22.16,$26.23,$29.87,$31.76,$11.08,$14.53,$17.77,$20.13,Georgia,Pierce County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Pierce County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Pierce County
0,Living Wage,$16.72,$29.97,$35.46,$44.41,$25.45,$29.94,$33.59,$36.08,$12.72,$16.39,$19.63,$22.29,Georgia,Pike County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Pike County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Pike County
0,Living Wage,$13.51,$26.82,$32.31,$40.49,$22.05,$26.79,$30.44,$32.16,$11.03,$14.81,$18.06,$20.33,Georgia,Polk County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Polk County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Polk County
0,Living Wage,$13.11,$26.76,$32.75,$41.95,$22.18,$26.23,$29.87,$32.12,$11.09,$14.78,$18.27,$21.06,Georgia,Pulaski County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Pulaski County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Pulaski County
0,Living Wage,$14.26,$27.59,$33.59,$42.08,$22.92,$27.06,$30.71,$32.24,$11.46,$15.20,$18.69,$21.13,Georgia,Putnam County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Putnam County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Putnam County
0,Living Wage,$13.23,$26.25,$31.74,$40.44,$21.78,$26.23,$29.87,$32.12,$10.89,$14.53,$17.77,$20.31,Georgia,Quitman County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Quitman County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Quitman County
0,Living Wage,$13.31,$26.56,$32.05,$40.04,$21.86,$26.54,$30.18,$31.71,$10.93,$14.68,$17.93,$20.11,Georgia,Rabun County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Rabun County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Rabun County
0,Living Wage,$13.23,$26.46,$31.95,$39.78,$21.78,$26.43,$30.08,$31.46,$10.89,$14.63,$17.88,$19.98,Georgia,Randolph County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Randolph County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Randolph County
0,Living Wage,$14.50,$28.18,$34.17,$43.52,$23.26,$27.65,$31.29,$33.68,$11.63,$15.49,$18.98,$21.85,Georgia,Richmond County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Richmond County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Richmond County
0,Living Wage,$16.72,$31.70,$38.91,$49.58,$25.45,$29.94,$33.59,$36.08,$12.72,$17.25,$21.36,$24.88,Georgia,Rockdale County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Rockdale County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Rockdale County
0,Living Wage,$13.08,$26.25,$31.74,$40.44,$21.62,$26.23,$29.87,$32.12,$10.81,$14.53,$17.77,$20.31,Georgia,Schley County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Schley County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Schley County
0,Living Wage,$13.08,$26.25,$31.74,$39.90,$21.62,$26.23,$29.87,$31.58,$10.81,$14.53,$17.77,$20.04,Georgia,Screven County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Screven County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Screven County
0,Living Wage,$13.31,$26.56,$32.05,$40.02,$21.85,$26.53,$30.18,$31.69,$10.92,$14.68,$17.92,$20.10,Georgia,Seminole County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Seminole County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Seminole County
0,Living Wage,$16.72,$30.47,$36.47,$45.92,$25.45,$29.94,$33.59,$36.08,$12.72,$16.64,$20.13,$23.05,Georgia,Spalding County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Spalding County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Spalding County
0,Living Wage,$13.08,$26.25,$31.74,$40.44,$21.62,$26.23,$29.87,$32.12,$10.81,$14.53,$17.77,$20.31,Georgia,Stephens County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Stephens County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Stephens County
0,Living Wage,$13.08,$26.25,$31.74,$39.52,$21.62,$26.23,$29.87,$31.20,$10.81,$14.53,$17.77,$19.85,Georgia,Stewart County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Stewart County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Stewart County
0,Living Wage,$13.40,$26.68,$32.17,$40.06,$21.94,$26.65,$30.30,$31.73,$10.97,$14.74,$17.98,$20.12,Georgia,Sumter County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Sumter County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Sumter County
0,Living Wage,$13.28,$26.30,$31.79,$39.85,$21.82,$26.28,$29.92,$31.52,$10.91,$14.55,$17.80,$20.01,Georgia,Talbot County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Talbot County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Talbot County
0,Living Wage,$13.38,$26.41,$31.90,$39.75,$21.93,$26.38,$30.03,$31.43,$10.96,$14.61,$17.85,$19.96,Georgia,Taliaferro County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Taliaferro County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Taliaferro County
0,Living Wage,$13.54,$26.25,$31.74,$40.40,$22.18,$26.23,$29.87,$32.08,$11.09,$14.53,$17.77,$20.29,Georgia,Tattnall County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Tattnall County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Tattnall County
0,Living Wage,$12.80,$26.25,$31.74,$39.80,$22.18,$26.23,$29.87,$31.48,$11.09,$14.53,$17.77,$19.99,Georgia,Taylor County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Taylor County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Taylor County
0,Living Wage,$12.76,$26.25,$31.74,$39.52,$21.78,$26.23,$29.87,$31.20,$10.89,$14.53,$17.77,$19.85,Georgia,Telfair County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Telfair County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Telfair County
0,Living Wage,$13.87,$26.89,$32.39,$40.63,$22.55,$26.87,$30.52,$32.31,$11.27,$14.85,$18.09,$20.40,Georgia,Terrell County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Terrell County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Terrell County
0,Living Wage,$13.77,$27.18,$32.67,$40.73,$22.32,$27.15,$30.80,$32.41,$11.16,$14.99,$18.23,$20.45,Georgia,Thomas County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Thomas County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Thomas County
0,Living Wage,$13.24,$26.76,$32.75,$41.03,$21.78,$26.23,$29.87,$31.20,$10.89,$14.78,$18.27,$20.60,Georgia,Tift County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Tift County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Tift County
0,Living Wage,$13.08,$26.25,$31.74,$39.82,$21.69,$26.23,$29.87,$31.50,$10.85,$14.53,$17.77,$20.00,Georgia,Toombs County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Toombs County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Toombs County
0,Living Wage,$13.77,$26.66,$32.16,$40.53,$22.31,$26.64,$30.29,$32.21,$11.16,$14.73,$17.98,$20.35,Georgia,Towns County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Towns County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Towns County
0,Living Wage,$13.23,$26.25,$31.74,$40.33,$21.78,$26.23,$29.87,$32.00,$10.89,$14.53,$17.77,$20.25,Georgia,Treutlen County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Treutlen County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Treutlen County
0,Living Wage,$13.81,$27.73,$33.72,$43.01,$22.36,$27.20,$30.85,$33.17,$11.18,$15.27,$18.76,$21.59,Georgia,Troup County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Troup County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Troup County
0,Living Wage,$13.23,$26.25,$31.74,$39.52,$21.78,$26.23,$29.87,$31.20,$10.89,$14.53,$17.77,$19.85,Georgia,Turner County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Turner County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Turner County
0,Living Wage,$13.16,$27.12,$32.61,$40.89,$22.94,$27.09,$30.74,$32.57,$11.47,$14.96,$18.20,$20.53,Georgia,Twiggs County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Twiggs County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Twiggs County
0,Living Wage,$13.34,$26.38,$31.87,$40.01,$21.88,$26.36,$30.00,$31.69,$10.94,$14.59,$17.84,$20.09,Georgia,Union County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Union County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Union County
0,Living Wage,$12.77,$26.52,$32.01,$39.94,$21.89,$26.49,$30.14,$31.61,$10.95,$14.66,$17.90,$20.06,Georgia,Upson County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Upson County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Upson County
0,Living Wage,$13.85,$27.56,$33.05,$41.47,$23.00,$27.53,$31.18,$33.14,$11.50,$15.18,$18.42,$20.82,Georgia,Walker County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Walker County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Walker County
0,Living Wage,$16.72,$30.47,$36.47,$45.92,$25.45,$29.94,$33.59,$36.08,$12.72,$16.64,$20.13,$23.05,Georgia,Walton County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Walton County
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Walton County
0,Living Wage,$12.59,$26.25,$31.74,$40.29,$21.62,$26.23,$29.87,$31.96,$10.81,$14.53,$17.77,$20.23,Georgia,Ware County
