Class,Level,_1a0c,_1a1c,_1a2c,_1a3c,_2a1w0c,_2a1w1c,_2a1w2c,_2a1w3c,_2a2w0c,_2a2w1c,_2a2w2c,_2a2w3c,County,State,FIPS
0,Living Wage,$13.82,$27.25,$32.75,$41.33,$22.89,$27.23,$30.88,$33.00,$11.44,$15.03,$18.27,$20.75,Marion County,GA,13193
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Marion County,GA,13197
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Marion County,GA,13195
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Marion County,GA,13193
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Marion County,GA,13197
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Marion County,GA,13195
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Marion County,GA,13193
0,Living Wage,$14.50,$28.18,$34.17,$43.52,$23.26,$27.65,$31.29,$33.68,$11.63,$15.49,$18.98,$21.85,McDuffie County,GA,13189
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,McDuffie County,GA,13189
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,McDuffie County,GA,13189
0,Living Wage,$14.24,$27.23,$32.72,$41.56,$22.79,$27.20,$30.85,$33.24,$11.40,$15.02,$18.26,$20.87,McIntosh County,GA,13191
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,McIntosh County,GA,13191
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,McIntosh County,GA,13191
0,Living Wage,$14.03,$28.02,$34.02,$43.79,$22.58,$27.49,$31.14,$33.95,$11.29,$15.42,$18.91,$21.98,Meriwether County,GA,13199
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Meriwether County,GA,13199
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Meriwether County,GA,13199
0,Living Wage,$13.78,$26.53,$32.03,$39.88,$22.43,$26.51,$30.16,$31.55,$11.21,$14.67,$17.91,$20.03,Miller County,GA,13201
0,Living Wage,$13.78,$26.53,$32.03,$39.88,$22.43,$26.51,$30.16,$31.55,$11.21,$14.67,$17.91,$20.03,Miller County,GA,13123
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Miller County,GA,13201
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Miller County,GA,13123
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Miller County,GA,13201
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Miller County,GA,13123
0,Living Wage,$13.54,$26.25,$31.74,$39.76,$22.18,$26.23,$29.87,$31.43,$11.09,$14.53,$17.77,$19.97,Mitchell County,GA,13205
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Mitchell County,GA,13205
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Mitchell County,GA,13205
0,Living Wage,$13.10,$26.74,$32.23,$40.27,$22.61,$26.72,$30.36,$31.95,$11.31,$14.77,$18.02,$20.22,Monroe County,GA,13207
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Monroe County,GA,13207
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Monroe County,GA,13207
0,Living Wage,$13.54,$26.25,$31.74,$40.42,$22.18,$26.23,$29.87,$32.10,$11.09,$14.53,$17.77,$20.30,Montgomery County,GA,13209
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Montgomery County,GA,13209
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Montgomery County,GA,13209
0,Living Wage,$15.19,$28.68,$34.67,$43.94,$23.87,$28.15,$31.80,$34.11,$11.93,$15.74,$19.24,$22.06,Morgan County,GA,13211
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Morgan County,GA,13211
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Morgan County,GA,13211
0,Living Wage,$13.34,$27.07,$33.06,$41.59,$21.90,$26.54,$30.18,$31.76,$10.95,$14.94,$18.43,$20.88,Murray County,GA,13213
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Murray County,GA,13213
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Murray County,GA,13213
0,Living Wage,$13.82,$27.76,$33.75,$42.84,$22.89,$27.23,$30.88,$33.00,$11.44,$15.28,$18.77,$21.51,Muscogee County,GA,13215
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Muscogee County,GA,13215
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Muscogee County,GA,13215
0,Living Wage,$16.72,$30.47,$36.47,$45.92,$25.45,$29.94,$33.59,$36.08,$12.72,$16.64,$20.13,$23.05,Newton County,GA,13217
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Newton County,GA,13217
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Newton County,GA,13217
0,Living Wage,$14.51,$28.18,$34.17,$43.48,$23.27,$27.65,$31.29,$33.64,$11.63,$15.49,$18.98,$21.83,Oconee County,GA,13219
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Oconee County,GA,13219
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Oconee County,GA,13219
0,Living Wage,$14.51,$27.67,$33.16,$41.97,$23.27,$27.65,$31.29,$33.64,$11.63,$15.24,$18.48,$21.07,Oglethorpe County,GA,13221
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Oglethorpe County,GA,13221
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Oglethorpe County,GA,13221
0,Living Wage,$16.72,$31.70,$38.91,$49.58,$25.45,$29.94,$33.59,$36.08,$12.72,$17.25,$21.36,$24.88,Paulding County,GA,13255
0,Living Wage,$16.72,$31.70,$38.91,$49.58,$25.45,$29.94,$33.59,$36.08,$12.72,$17.25,$21.36,$24.88,Paulding County,GA,13223
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Paulding County,GA,13255
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Paulding County,GA,13223
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Paulding County,GA,13255
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Paulding County,GA,13223
0,Living Wage,$13.17,$27.30,$33.29,$42.25,$22.03,$26.77,$30.41,$32.41,$11.01,$15.05,$18.54,$21.21,Peach County,GA,13225
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Peach County,GA,13225
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Peach County,GA,13225
0,Living Wage,$16.72,$29.97,$35.46,$44.41,$25.45,$29.94,$33.59,$36.08,$12.72,$16.39,$19.63,$22.29,Pickens County,GA,13227
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Pickens County,GA,13227
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Pickens County,GA,13227
0,Living Wage,$13.54,$26.25,$31.74,$40.08,$22.16,$26.23,$29.87,$31.76,$11.08,$14.53,$17.77,$20.13,Pierce County,GA,13229
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Pierce County,GA,13229
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Pierce County,GA,13229
0,Living Wage,$16.72,$29.97,$35.46,$44.41,$25.45,$29.94,$33.59,$36.08,$12.72,$16.39,$19.63,$22.29,Pike County,GA,13231
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Pike County,GA,13231
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Pike County,GA,13231
0,Living Wage,$13.51,$26.82,$32.31,$40.49,$22.05,$26.79,$30.44,$32.16,$11.03,$14.81,$18.06,$20.33,Polk County,GA,13233
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Polk County,GA,13233
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Polk County,GA,13233
0,Living Wage,$13.11,$26.76,$32.75,$41.95,$22.18,$26.23,$29.87,$32.12,$11.09,$14.78,$18.27,$21.06,Pulaski County,GA,13235
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Pulaski County,GA,13235
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Pulaski County,GA,13235
0,Living Wage,$14.26,$27.59,$33.59,$42.08,$22.92,$27.06,$30.71,$32.24,$11.46,$15.20,$18.69,$21.13,Putnam County,GA,13237
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Putnam County,GA,13237
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Putnam County,GA,13237
0,Living Wage,$13.23,$26.25,$31.74,$40.44,$21.78,$26.23,$29.87,$32.12,$10.89,$14.53,$17.77,$20.31,Quitman County,GA,13239
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Quitman County,GA,13239
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Quitman County,GA,13239
0,Living Wage,$13.31,$26.56,$32.05,$40.04,$21.86,$26.54,$30.18,$31.71,$10.93,$14.68,$17.93,$20.11,Rabun County,GA,13241
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Rabun County,GA,13241
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Rabun County,GA,13241
0,Living Wage,$13.23,$26.46,$31.95,$39.78,$21.78,$26.43,$30.08,$31.46,$10.89,$14.63,$17.88,$19.98,Randolph County,GA,13243
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Randolph County,GA,13243
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Randolph County,GA,13243
0,Living Wage,$14.50,$28.18,$34.17,$43.52,$23.26,$27.65,$31.29,$33.68,$11.63,$15.49,$18.98,$21.85,Richmond County,GA,13245
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Richmond County,GA,13245
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Richmond County,GA,13245
0,Living Wage,$16.72,$31.70,$38.91,$49.58,$25.45,$29.94,$33.59,$36.08,$12.72,$17.25,$21.36,$24.88,Rockdale County,GA,13247
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Rockdale County,GA,13247
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Rockdale County,GA,13247
0,Living Wage,$13.08,$26.25,$31.74,$40.44,$21.62,$26.23,$29.87,$32.12,$10.81,$14.53,$17.77,$20.31,Schley County,GA,13249
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Schley County,GA,13249
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Schley County,GA,13249
0,Living Wage,$13.08,$26.25,$31.74,$39.90,$21.62,$26.23,$29.87,$31.58,$10.81,$14.53,$17.77,$20.04,Screven County,GA,13251
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Screven County,GA,13251
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Screven County,GA,13251
0,Living Wage,$13.31,$26.56,$32.05,$40.02,$21.85,$26.53,$30.18,$31.69,$10.92,$14.68,$17.92,$20.10,Seminole County,GA,13253
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Seminole County,GA,13253
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Seminole County,GA,13253
0,Living Wage,$16.72,$30.47,$36.47,$45.92,$25.45,$29.94,$33.59,$36.08,$12.72,$16.64,$20.13,$23.05,Spalding County,GA,13255
0,Living Wage,$16.72,$30.47,$36.47,$45.92,$25.45,$29.94,$33.59,$36.08,$12.72,$16.64,$20.13,$23.05,Spalding County,GA,13223
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Spalding County,GA,13255
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Spalding County,GA,13223
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Spalding County,GA,13255
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Spalding County,GA,13223
0,Living Wage,$13.08,$26.25,$31.74,$40.44,$21.62,$26.23,$29.87,$32.12,$10.81,$14.53,$17.77,$20.31,Stephens County,GA,13257
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Stephens County,GA,13257
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Stephens County,GA,13257
0,Living Wage,$13.08,$26.25,$31.74,$39.52,$21.62,$26.23,$29.87,$31.20,$10.81,$14.53,$17.77,$19.85,Stewart County,GA,13259
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Stewart County,GA,13259
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Stewart County,GA,13259
0,Living Wage,$13.40,$26.68,$32.17,$40.06,$21.94,$26.65,$30.30,$31.73,$10.97,$14.74,$17.98,$20.12,Sumter County,GA,13261
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Sumter County,GA,13261
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Sumter County,GA,13261
0,Living Wage,$13.28,$26.30,$31.79,$39.85,$21.82,$26.28,$29.92,$31.52,$10.91,$14.55,$17.80,$20.01,Talbot County,GA,13263
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Talbot County,GA,13263
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Talbot County,GA,13263
0,Living Wage,$13.38,$26.41,$31.90,$39.75,$21.93,$26.38,$30.03,$31.43,$10.96,$14.61,$17.85,$19.96,Taliaferro County,GA,13265
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Taliaferro County,GA,13265
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Taliaferro County,GA,13265
0,Living Wage,$13.54,$26.25,$31.74,$40.40,$22.18,$26.23,$29.87,$32.08,$11.09,$14.53,$17.77,$20.29,Tattnall County,GA,13267
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Tattnall County,GA,13267
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Tattnall County,GA,13267
0,Living Wage,$12.80,$26.25,$31.74,$39.80,$22.18,$26.23,$29.87,$31.48,$11.09,$14.53,$17.77,$19.99,Taylor County,GA,13269
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Taylor County,GA,13269
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Taylor County,GA,13269
0,Living Wage,$12.76,$26.25,$31.74,$39.52,$21.78,$26.23,$29.87,$31.20,$10.89,$14.53,$17.77,$19.85,Telfair County,GA,13271
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Telfair County,GA,13271
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Telfair County,GA,13271
0,Living Wage,$13.87,$26.89,$32.39,$40.63,$22.55,$26.87,$30.52,$32.31,$11.27,$14.85,$18.09,$20.40,Terrell County,GA,13273
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Terrell County,GA,13273
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Terrell County,GA,13273
0,Living Wage,$13.77,$27.18,$32.67,$40.73,$22.32,$27.15,$30.80,$32.41,$11.16,$14.99,$18.23,$20.45,Thomas County,GA,13279
0,Living Wage,$13.77,$27.18,$32.67,$40.73,$22.32,$27.15,$30.80,$32.41,$11.16,$14.99,$18.23,$20.45,Thomas County,GA,13275
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Thomas County,GA,13279
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Thomas County,GA,13275
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Thomas County,GA,13279
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Thomas County,GA,13275
0,Living Wage,$13.24,$26.76,$32.75,$41.03,$21.78,$26.23,$29.87,$31.20,$10.89,$14.78,$18.27,$20.60,Tift County,GA,13277
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Tift County,GA,13277
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Tift County,GA,13277
0,Living Wage,$13.08,$26.25,$31.74,$39.82,$21.69,$26.23,$29.87,$31.50,$10.85,$14.53,$17.77,$20.00,Toombs County,GA,13279
0,Living Wage,$13.08,$26.25,$31.74,$39.82,$21.69,$26.23,$29.87,$31.50,$10.85,$14.53,$17.77,$20.00,Toombs County,GA,13275
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Toombs County,GA,13279
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Toombs County,GA,13275
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Toombs County,GA,13279
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Toombs County,GA,13275
0,Living Wage,$13.77,$26.66,$32.16,$40.53,$22.31,$26.64,$30.29,$32.21,$11.16,$14.73,$17.98,$20.35,Towns County,GA,13281
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Towns County,GA,13281
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Towns County,GA,13281
0,Living Wage,$13.23,$26.25,$31.74,$40.33,$21.78,$26.23,$29.87,$32.00,$10.89,$14.53,$17.77,$20.25,Treutlen County,GA,13283
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Treutlen County,GA,13283
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Treutlen County,GA,13283
0,Living Wage,$13.81,$27.73,$33.72,$43.01,$22.36,$27.20,$30.85,$33.17,$11.18,$15.27,$18.76,$21.59,Troup County,GA,13285
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Troup County,GA,13285
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Troup County,GA,13285
0,Living Wage,$13.23,$26.25,$31.74,$39.52,$21.78,$26.23,$29.87,$31.20,$10.89,$14.53,$17.77,$19.85,Turner County,GA,13287
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Turner County,GA,13287
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Turner County,GA,13287
0,Living Wage,$13.16,$27.12,$32.61,$40.89,$22.94,$27.09,$30.74,$32.57,$11.47,$14.96,$18.20,$20.53,Twiggs County,GA,13289
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Twiggs County,GA,13289
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Twiggs County,GA,13289
0,Living Wage,$13.34,$26.38,$31.87,$40.01,$21.88,$26.36,$30.00,$31.69,$10.94,$14.59,$17.84,$20.09,Union County,GA,13291
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Union County,GA,13291
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Union County,GA,13291
0,Living Wage,$12.77,$26.52,$32.01,$39.94,$21.89,$26.49,$30.14,$31.61,$10.95,$14.66,$17.90,$20.06,Upson County,GA,13293
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Upson County,GA,13293
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Upson County,GA,13293
0,Living Wage,$13.85,$27.56,$33.05,$41.47,$23.00,$27.53,$31.18,$33.14,$11.50,$15.18,$18.42,$20.82,Walker County,GA,13317
