,type,1a1w0c,1a1w1c,1a1w2c,1a1w3c,2a1w0c,2a1w1c,2a1w2c,2a1w3c,2a2w0c,2a2w1c,2a2w2c,2a2w3c,State,County
1844,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Treutlen County
1845,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Treutlen County
1846,Living Wage,$13.81,$27.73,$33.72,$43.01,$22.36,$27.20,$30.85,$33.17,$11.18,$15.27,$18.76,$21.59,Georgia,Troup County
1847,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Troup County
1848,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Troup County
1849,Living Wage,$13.23,$26.25,$31.74,$39.52,$21.78,$26.23,$29.87,$31.20,$10.89,$14.53,$17.77,$19.85,Georgia,Turner County
1850,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Turner County
1851,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Turner County
1852,Living Wage,$13.16,$27.12,$32.61,$40.89,$22.94,$27.09,$30.74,$32.57,$11.47,$14.96,$18.20,$20.53,Georgia,Twiggs County
1853,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Twiggs County
1854,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Twiggs County
1855,Living Wage,$13.34,$26.38,$31.87,$40.01,$21.88,$26.36,$30.00,$31.69,$10.94,$14.59,$17.84,$20.09,Georgia,Union County
1856,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Union County
1857,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Union County
1858,Living Wage,$12.77,$26.52,$32.01,$39.94,$21.89,$26.49,$30.14,$31.61,$10.95,$14.66,$17.90,$20.06,Georgia,Upson County
1859,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Upson County
1860,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Upson County
1861,Living Wage,$13.85,$27.56,$33.05,$41.47,$23.00,$27.53,$31.18,$33.14,$11.50,$15.18,$18.42,$20.82,Georgia,Walker County
1862,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Walker County
1863,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Walker County
1864,Living Wage,$16.72,$30.47,$36.47,$45.92,$25.45,$29.94,$33.59,$36.08,$12.72,$16.64,$20.13,$23.05,Georgia,Walton County
1865,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Walton County
1866,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Walton County
1867,Living Wage,$12.59,$26.25,$31.74,$40.29,$21.62,$26.23,$29.87,$31.96,$10.81,$14.53,$17.77,$20.23,Georgia,Ware County
1868,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Ware County
1869,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Ware County
1870,Living Wage,$13.08,$26.25,$31.74,$39.88,$21.62,$26.23,$29.87,$31.56,$10.81,$14.53,$17.77,$20.03,Georgia,Warren County
1871,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Warren County
1872,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Warren County
1873,Living Wage,$13.54,$26.25,$31.74,$40.05,$22.18,$26.23,$29.87,$31.72,$11.09,$14.53,$17.77,$20.11,Georgia,Washington County
1874,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Washington County
1875,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Washington County
1876,Living Wage,$13.08,$26.25,$31.74,$40.09,$21.62,$26.23,$29.87,$31.77,$10.81,$14.53,$17.77,$20.13,Georgia,Wayne County
1877,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Wayne County
1878,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Wayne County
1879,Living Wage,$13.23,$26.25,$31.74,$39.52,$21.78,$26.23,$29.87,$31.20,$10.89,$14.53,$17.77,$19.85,Georgia,Webster County
1880,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Webster County
1881,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Webster County
1882,Living Wage,$13.23,$26.25,$31.74,$40.44,$21.78,$26.23,$29.87,$32.12,$10.89,$14.53,$17.77,$20.31,Georgia,Wheeler County
1883,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Wheeler County
1884,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Wheeler County
1885,Living Wage,$13.62,$26.74,$32.23,$40.52,$22.17,$26.71,$30.36,$32.19,$11.08,$14.77,$18.01,$20.35,Georgia,White County
1886,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,White County
1887,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,White County
1888,Living Wage,$13.44,$27.28,$33.28,$42.37,$22.41,$26.75,$30.40,$32.53,$11.21,$15.04,$18.54,$21.27,Georgia,Whitfield County
1889,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Whitfield County
1890,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Whitfield County
1891,Living Wage,$13.23,$26.25,$31.74,$39.52,$21.80,$26.23,$29.87,$31.20,$10.90,$14.53,$17.77,$19.85,Georgia,Wilcox County
1892,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Wilcox County
1893,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Wilcox County
1894,Living Wage,$13.22,$26.45,$31.94,$39.90,$21.77,$26.42,$30.07,$31.57,$10.88,$14.63,$17.87,$20.04,Georgia,Wilkes County
1895,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Wilkes County
1896,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Wilkes County
1897,Living Wage,$13.24,$26.26,$31.75,$39.53,$21.78,$26.23,$29.88,$31.20,$10.89,$14.53,$17.77,$19.85,Georgia,Wilkinson County
1898,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Wilkinson County
1899,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Wilkinson County
1900,Living Wage,$13.87,$26.89,$32.39,$40.63,$22.55,$26.87,$30.52,$32.31,$11.27,$14.85,$18.09,$20.40,Georgia,Worth County
1901,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,Worth County
1902,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,Worth County
1903,Living Wage,$13.85,$27.36,$33.31,$42.06,$22.53,$26.87,$30.51,$32.34,$11.18,$15.08,$18.55,$21.12,Georgia,"Albany, GA"
1904,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,"Albany, GA"
1905,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,"Albany, GA"
1906,Living Wage,$14.40,$28.03,$33.98,$43.25,$23.15,$27.53,$31.18,$33.53,$11.46,$15.42,$18.89,$21.71,Georgia,"Athens-Clarke County, GA"
1907,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,"Athens-Clarke County, GA"
1908,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,"Athens-Clarke County, GA"
1909,Living Wage,$16.56,$31.33,$38.33,$48.79,$25.29,$29.79,$33.44,$35.92,$12.54,$17.07,$21.07,$24.48,Georgia,"Atlanta-Sandy Springs-Roswell, GA"
1910,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,"Atlanta-Sandy Springs-Roswell, GA"
1911,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,"Atlanta-Sandy Springs-Roswell, GA"
1912,Living Wage,$14.38,$27.96,$33.88,$43.14,$23.13,$27.51,$31.16,$33.55,$11.45,$15.38,$18.84,$21.66,Georgia,"Augusta-Richmond County, GA"
1913,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,"Augusta-Richmond County, GA"
1914,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,"Augusta-Richmond County, GA"
1915,Living Wage,$14.13,$27.47,$33.33,$42.53,$22.68,$27.08,$30.73,$33.12,$11.33,$15.14,$18.56,$21.35,Georgia,"Brunswick, GA"
1916,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,"Brunswick, GA"
1917,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,"Brunswick, GA"
1918,Living Wage,$13.53,$27.34,$33.26,$42.20,$22.58,$26.89,$30.54,$32.59,$11.03,$15.07,$18.53,$21.19,Georgia,"Columbus, GA"
1919,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,"Columbus, GA"
1920,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,"Columbus, GA"
1921,Living Wage,$13.30,$27.11,$33.10,$42.04,$22.16,$26.58,$30.23,$32.20,$10.91,$14.96,$18.45,$21.11,Georgia,"Dalton, GA"
1922,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,"Dalton, GA"
1923,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,"Dalton, GA"
1924,Living Wage,$14.47,$29.64,$36.86,$47.35,$23.63,$27.89,$31.54,$33.85,$11.49,$16.22,$20.33,$23.76,Georgia,"Gainesville, GA"
1925,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,"Gainesville, GA"
1926,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,"Gainesville, GA"
1927,Living Wage,$14.25,$27.89,$33.77,$43.46,$23.17,$27.48,$31.13,$33.97,$11.38,$15.35,$18.78,$21.82,Georgia,"Hinesville, GA"
1928,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,"Hinesville, GA"
1929,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,"Hinesville, GA"
1930,Living Wage,$13.03,$27.36,$33.25,$41.90,$22.78,$26.93,$30.58,$32.38,$10.78,$15.08,$18.52,$21.04,Georgia,"Macon-Bibb County, GA"
1931,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,"Macon-Bibb County, GA"
1932,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,"Macon-Bibb County, GA"
1933,Living Wage,$13.81,$27.39,$33.39,$42.37,$22.36,$26.86,$30.51,$32.54,$11.17,$15.10,$18.59,$21.27,Georgia,"Rome, GA"
1934,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,"Rome, GA"
1935,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,"Rome, GA"
1936,Living Wage,$15.46,$29.23,$35.22,$45.05,$24.34,$28.70,$32.35,$35.22,$11.99,$16.02,$19.51,$22.61,Georgia,"Savannah, GA"
1937,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,"Savannah, GA"
1938,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,"Savannah, GA"
1939,Living Wage,$13.38,$27.04,$32.93,$42.15,$21.92,$26.61,$30.26,$32.62,$10.95,$14.92,$18.36,$21.16,Georgia,"Valdosta, GA"
1940,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,"Valdosta, GA"
1941,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,"Valdosta, GA"
1942,Living Wage,$14.40,$28.72,$34.92,$44.22,$23.61,$27.98,$31.63,$33.76,$11.46,$15.76,$19.36,$22.20,Georgia,"Warner Robins, GA"
1943,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Georgia,"Warner Robins, GA"
1944,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Georgia,"Warner Robins, GA"
1945,Living Wage,$16.48,$34.46,$42.25,$53.95,$27.31,$32.73,$36.66,$39.86,$13.65,$18.79,$23.18,$27.21,Hawaii,Hawaii County
1946,Poverty Wage,$7.06,$9.53,$12.01,$14.49,$9.53,$12.01,$14.49,$16.96,$4.77,$6.00,$7.24,$8.48,Hawaii,Hawaii County
1947,Minimum Wage,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,Hawaii,Hawaii County
1948,Living Wage,$20.61,$40.44,$48.79,$65.39,$31.43,$38.15,$42.08,$49.62,$15.71,$21.78,$26.45,$32.92,Hawaii,Honolulu County
1949,Poverty Wage,$7.06,$9.53,$12.01,$14.49,$9.53,$12.01,$14.49,$16.96,$4.77,$6.00,$7.24,$8.48,Hawaii,Honolulu County
1950,Minimum Wage,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,Hawaii,Honolulu County
1951,Living Wage,$19.15,$35.41,$41.71,$54.64,$29.60,$35.18,$39.10,$45.02,$14.80,$19.27,$22.91,$27.55,Hawaii,Kalawao County
1952,Poverty Wage,$7.06,$9.53,$12.01,$14.49,$9.53,$12.01,$14.49,$16.96,$4.77,$6.00,$7.24,$8.48,Hawaii,Kalawao County
1953,Minimum Wage,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,Hawaii,Kalawao County
1954,Living Wage,$18.79,$37.90,$45.79,$60.13,$30.53,$36.08,$40.01,$45.75,$15.26,$20.51,$24.95,$30.29,Hawaii,Kauai County
1955,Poverty Wage,$7.06,$9.53,$12.01,$14.49,$9.53,$12.01,$14.49,$16.96,$4.77,$6.00,$7.24,$8.48,Hawaii,Kauai County
1956,Minimum Wage,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,Hawaii,Kauai County
1957,Living Wage,$19.15,$36.70,$44.29,$58.50,$29.60,$35.18,$39.10,$45.02,$14.80,$19.91,$24.20,$29.48,Hawaii,Maui County
1958,Poverty Wage,$7.06,$9.53,$12.01,$14.49,$9.53,$12.01,$14.49,$16.96,$4.77,$6.00,$7.24,$8.48,Hawaii,Maui County
1959,Minimum Wage,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,Hawaii,Maui County
1960,Living Wage,$18.79,$36.24,$43.83,$58.05,$29.14,$34.72,$38.65,$44.57,$14.13,$19.69,$23.97,$29.25,Hawaii,"Kahului-Wailuku-Lahaina, HI"
1961,Poverty Wage,$7.06,$9.53,$12.01,$14.49,$9.53,$12.01,$14.49,$16.96,$4.77,$6.00,$7.24,$8.48,Hawaii,"Kahului-Wailuku-Lahaina, HI"
1962,Minimum Wage,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,Hawaii,"Kahului-Wailuku-Lahaina, HI"
1963,Living Wage,$20.25,$39.98,$48.33,$64.93,$30.96,$37.69,$41.62,$49.16,$14.86,$21.55,$26.22,$32.69,Hawaii,"Urban Honolulu, HI"
1964,Poverty Wage,$7.06,$9.53,$12.01,$14.49,$9.53,$12.01,$14.49,$16.96,$4.77,$6.00,$7.24,$8.48,Hawaii,"Urban Honolulu, HI"
1965,Minimum Wage,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,$10.10,Hawaii,"Urban Honolulu, HI"
1966,Living Wage,$14.29,$29.20,$36.25,$47.42,$24.01,$28.15,$32.03,$35.45,$12.00,$16.15,$20.16,$23.94,Idaho,Ada County
1967,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Idaho,Ada County
1968,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Idaho,Ada County
1969,Living Wage,$13.65,$26.39,$32.31,$41.38,$22.74,$26.48,$30.37,$32.82,$11.37,$14.74,$18.19,$20.92,Idaho,Adams County
1970,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Idaho,Adams County
1971,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Idaho,Adams County
1972,Living Wage,$13.47,$26.81,$32.73,$42.07,$22.81,$26.90,$30.78,$33.52,$11.41,$14.95,$18.40,$21.26,Idaho,Bannock County
1973,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Idaho,Bannock County
1974,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Idaho,Bannock County
1975,Living Wage,$13.65,$26.39,$32.31,$41.69,$22.49,$26.48,$30.37,$33.13,$11.25,$14.74,$18.19,$21.07,Idaho,Bear Lake County
1976,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Idaho,Bear Lake County
1977,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Idaho,Bear Lake County
1978,Living Wage,$14.04,$27.34,$33.68,$43.42,$22.89,$27.00,$30.89,$33.59,$11.45,$15.22,$18.87,$21.94,Idaho,Benewah County
1979,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Idaho,Benewah County
1980,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Idaho,Benewah County
1981,Living Wage,$13.82,$26.61,$32.53,$41.39,$22.66,$26.70,$30.59,$32.84,$11.33,$14.85,$18.30,$20.92,Idaho,Bingham County
1982,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Idaho,Bingham County
1983,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Idaho,Bingham County
1984,Living Wage,$14.77,$29.94,$36.99,$47.66,$24.32,$28.89,$32.77,$35.69,$12.16,$16.52,$20.53,$24.06,Idaho,Blaine County
1985,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Idaho,Blaine County
1986,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Idaho,Blaine County
1987,Living Wage,$14.29,$29.20,$36.25,$47.42,$24.01,$28.15,$32.03,$35.45,$12.00,$16.15,$20.16,$23.94,Idaho,Boise County
1988,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Idaho,Boise County
1989,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Idaho,Boise County
1990,Living Wage,$14.27,$28.23,$35.28,$45.89,$23.11,$27.18,$31.06,$33.91,$11.56,$15.66,$19.67,$23.17,Idaho,Bonner County
1991,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Idaho,Bonner County
1992,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Idaho,Bonner County
1993,Living Wage,$13.62,$28.10,$35.16,$45.93,$23.25,$27.06,$30.94,$33.96,$11.63,$15.60,$19.61,$23.19,Idaho,Bonneville County
1994,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Idaho,Bonneville County
1995,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Idaho,Bonneville County
1996,Living Wage,$13.65,$26.82,$33.16,$42.95,$22.49,$26.48,$30.37,$33.13,$11.25,$14.95,$18.61,$21.70,Idaho,Boundary County
1997,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Idaho,Boundary County
1998,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Idaho,Boundary County
1999,Living Wage,$13.64,$27.00,$32.92,$42.57,$22.96,$27.09,$30.97,$34.01,$11.48,$15.05,$18.49,$21.51,Idaho,Butte County
2000,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Idaho,Butte County
2001,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Idaho,Butte County
2002,Living Wage,$13.65,$26.39,$32.31,$41.69,$22.52,$26.48,$30.37,$33.13,$11.26,$14.74,$18.19,$21.07,Idaho,Camas County
2003,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Idaho,Camas County
2004,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Idaho,Camas County
2005,Living Wage,$14.29,$28.48,$34.82,$45.27,$24.01,$28.15,$32.03,$35.45,$12.00,$15.79,$19.44,$22.86,Idaho,Canyon County
2006,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Idaho,Canyon County
2007,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Idaho,Canyon County
2008,Living Wage,$13.65,$26.39,$32.31,$40.82,$22.49,$26.48,$30.37,$32.26,$11.25,$14.74,$18.19,$20.64,Idaho,Caribou County
2009,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Idaho,Caribou County
