County,State,FIPS,pov 1a0c,pov 1a1c,pov 1a2c,pov 1a3c,pov 2a1w0c,pov 2a1w1c,pov 2a1w2c,pov 2a1w3c,pov 2a2w0c,pov 2a2w1c,pov 2a2w2c,pov 2a2w3c,live 1a0c,live 1a1c,live 1a2c,live 1a3c,live 2a1w0c,live 2a1w1c,live 2a1w2c,live 2a1w3c,live 2a2w0c,live 2a2w1c,live 2a2w2c,live 2a2w3c,min 1a0c,min 1a1c,min 1a2c,min 1a3c,min 2a1w0c,min 2a1w1c,min 2a1w2c,min 2a1w3c,min 2a2w0c,min 2a2w1c,min 2a2w2c,min 2a2w3c
Black Hawk County,IA,19013,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.69 ,$29.71 ,$38.04 ,$48.49 ,$23.65 ,$27.95 ,$31.75 ,$34.54 ,$11.83 ,$16.31 ,$21.02 ,$24.35 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Boone County,IA,19015,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.85 ,$29.44 ,$37.64 ,$48.11 ,$23.68 ,$27.81 ,$31.61 ,$34.55 ,$11.84 ,$16.17 ,$20.82 ,$24.15 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Bremer County,IA,19017,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.35 ,$29.19 ,$37.55 ,$47.56 ,$23.05 ,$27.39 ,$31.19 ,$32.62 ,$11.52 ,$16.04 ,$20.78 ,$23.88 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Buchanan County,IA,19019,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.42 ,$28.95 ,$36.99 ,$47.24 ,$23.19 ,$27.46 ,$31.25 ,$34.12 ,$11.59 ,$15.92 ,$20.50 ,$23.72 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Buena Vista County,IA,19021,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.19 ,$28.61 ,$36.38 ,$46.44 ,$23.16 ,$27.39 ,$31.19 ,$34.13 ,$11.58 ,$15.75 ,$20.19 ,$23.32 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Butler County,IA,19023,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$29.02 ,$37.21 ,$47.38 ,$23.05 ,$27.39 ,$31.19 ,$33.83 ,$11.52 ,$15.96 ,$20.60 ,$23.79 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Calhoun County,IA,19025,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$28.73 ,$36.63 ,$46.30 ,$23.65 ,$27.39 ,$31.19 ,$32.74 ,$11.83 ,$15.82 ,$20.32 ,$23.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Carroll County,IA,19027,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$29.04 ,$37.26 ,$47.65 ,$23.05 ,$27.39 ,$31.19 ,$34.03 ,$11.52 ,$15.97 ,$20.63 ,$23.93 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Cass County,IA,19029,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$28.71 ,$36.59 ,$46.41 ,$23.64 ,$27.39 ,$31.19 ,$33.79 ,$11.82 ,$15.81 ,$20.29 ,$23.30 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Cedar County,IA,19031,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.85 ,$29.29 ,$37.32 ,$47.35 ,$23.37 ,$27.81 ,$31.61 ,$34.27 ,$11.68 ,$16.09 ,$20.66 ,$23.77 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Cerro Gordo County,IA,19033,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.53 ,$29.49 ,$37.62 ,$47.79 ,$23.45 ,$27.92 ,$31.72 ,$34.42 ,$11.72 ,$16.19 ,$20.81 ,$23.99 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Cherokee County,IA,19035,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$28.87 ,$36.91 ,$47.62 ,$23.32 ,$27.39 ,$31.19 ,$34.51 ,$11.66 ,$15.89 ,$20.46 ,$23.91 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Chickasaw County,IA,19037,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$28.98 ,$37.14 ,$47.95 ,$23.56 ,$27.39 ,$31.19 ,$34.51 ,$11.78 ,$15.94 ,$20.57 ,$24.07 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Clarke County,IA,19039,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.92 ,$29.05 ,$36.75 ,$46.36 ,$23.44 ,$27.91 ,$31.70 ,$34.28 ,$11.72 ,$15.98 ,$20.38 ,$23.28 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Clay County,IA,19041,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$28.45 ,$36.06 ,$46.16 ,$23.05 ,$27.39 ,$31.19 ,$34.33 ,$11.52 ,$15.68 ,$20.03 ,$23.18 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Clayton County,IA,19045,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.44 ,$28.70 ,$36.56 ,$46.08 ,$23.05 ,$27.39 ,$31.19 ,$32.62 ,$11.52 ,$15.80 ,$20.28 ,$23.14 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Clayton County,IA,19043,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.44 ,$28.70 ,$36.56 ,$46.08 ,$23.05 ,$27.39 ,$31.19 ,$32.62 ,$11.52 ,$15.80 ,$20.28 ,$23.14 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Clinton County,IA,19045,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.59 ,$29.10 ,$36.97 ,$46.77 ,$23.38 ,$27.79 ,$31.59 ,$34.18 ,$11.69 ,$16.00 ,$20.49 ,$23.48 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Clinton County,IA,19043,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.59 ,$29.10 ,$36.97 ,$46.77 ,$23.38 ,$27.79 ,$31.59 ,$34.18 ,$11.69 ,$16.00 ,$20.49 ,$23.48 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Crawford County,IA,19047,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$29.04 ,$37.24 ,$47.10 ,$23.19 ,$27.39 ,$31.19 ,$32.62 ,$11.59 ,$15.97 ,$20.62 ,$23.65 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Dallas County,IA,19049,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$14.32 ,$31.50 ,$40.63 ,$52.48 ,$24.59 ,$28.97 ,$32.76 ,$36.18 ,$12.29 ,$17.65 ,$22.32 ,$26.34 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Davis County,IA,19051,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.59 ,$28.76 ,$36.62 ,$46.49 ,$23.26 ,$27.45 ,$31.25 ,$33.91 ,$11.63 ,$15.83 ,$20.31 ,$23.34 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Decatur County,IA,19053,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.70 ,$28.09 ,$35.32 ,$44.28 ,$23.05 ,$27.39 ,$31.19 ,$32.69 ,$11.52 ,$15.49 ,$19.66 ,$22.24 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Delaware County,IA,19055,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$29.04 ,$37.24 ,$48.11 ,$23.05 ,$27.39 ,$31.19 ,$34.51 ,$11.52 ,$15.97 ,$20.62 ,$24.15 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Des Moines County,IA,19057,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.77 ,$29.54 ,$37.34 ,$47.38 ,$23.74 ,$28.30 ,$32.10 ,$35.01 ,$11.87 ,$16.22 ,$20.67 ,$23.79 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Dickinson County,IA,19059,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.88 ,$29.10 ,$36.90 ,$46.56 ,$23.40 ,$27.86 ,$31.65 ,$34.18 ,$11.70 ,$16.00 ,$20.45 ,$23.38 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Dubuque County,IA,19061,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.64 ,$29.96 ,$38.40 ,$49.19 ,$23.59 ,$28.10 ,$31.90 ,$34.93 ,$11.79 ,$16.87 ,$21.20 ,$24.69 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Emmet County,IA,19063,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$29.10 ,$37.37 ,$47.96 ,$23.05 ,$27.39 ,$31.19 ,$34.17 ,$11.52 ,$16.00 ,$20.68 ,$24.08 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Fayette County,IA,19065,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.54 ,$28.20 ,$35.56 ,$44.57 ,$23.05 ,$27.39 ,$31.19 ,$32.62 ,$11.52 ,$15.55 ,$19.78 ,$22.38 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Floyd County,IA,19067,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$28.67 ,$36.50 ,$46.75 ,$23.23 ,$27.39 ,$31.19 ,$34.25 ,$11.62 ,$15.79 ,$20.25 ,$23.47 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Franklin County,IA,19069,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$28.70 ,$36.56 ,$46.60 ,$23.05 ,$27.39 ,$31.19 ,$34.03 ,$11.52 ,$15.80 ,$20.28 ,$23.40 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Fremont County,IA,19071,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$28.89 ,$36.95 ,$46.77 ,$23.05 ,$27.39 ,$31.19 ,$32.73 ,$11.52 ,$15.89 ,$20.47 ,$23.48 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Greene County,IA,19073,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$29.05 ,$37.28 ,$47.58 ,$23.05 ,$27.39 ,$31.19 ,$33.92 ,$11.52 ,$15.98 ,$20.64 ,$23.89 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Grundy County,IA,19075,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.69 ,$29.09 ,$36.79 ,$46.62 ,$23.65 ,$27.95 ,$31.75 ,$34.54 ,$11.83 ,$16.00 ,$20.40 ,$23.41 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Guthrie County,IA,19077,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$14.32 ,$30.48 ,$38.57 ,$49.39 ,$24.59 ,$28.97 ,$32.76 ,$36.18 ,$12.29 ,$17.13 ,$21.29 ,$24.79 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Hamilton County,IA,19079,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.67 ,$29.12 ,$37.24 ,$47.06 ,$23.28 ,$27.56 ,$31.35 ,$33.70 ,$11.64 ,$16.01 ,$20.62 ,$23.63 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Hancock County,IA,19081,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$28.82 ,$36.80 ,$46.56 ,$23.23 ,$27.39 ,$31.19 ,$32.75 ,$11.61 ,$15.86 ,$20.40 ,$23.38 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Hardin County,IA,19083,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$28.73 ,$36.63 ,$47.05 ,$23.05 ,$27.39 ,$31.19 ,$34.37 ,$11.52 ,$15.82 ,$20.31 ,$23.62 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Harrison County,IA,19085,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$14.78 ,$31.06 ,$39.40 ,$50.54 ,$24.82 ,$29.31 ,$33.98 ,$36.61 ,$12.41 ,$17.42 ,$21.70 ,$25.37 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Henry County,IA,19087,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.67 ,$29.33 ,$37.66 ,$48.23 ,$23.72 ,$27.56 ,$31.36 ,$34.26 ,$11.86 ,$16.11 ,$20.83 ,$24.22 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Howard County,IA,19089,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$29.29 ,$37.76 ,$48.76 ,$23.65 ,$27.39 ,$31.19 ,$34.37 ,$11.83 ,$16.10 ,$20.88 ,$24.48 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Humboldt County,IA,19091,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$28.56 ,$36.27 ,$46.36 ,$23.05 ,$27.39 ,$31.19 ,$34.21 ,$11.52 ,$15.73 ,$20.13 ,$23.28 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Ida County,IA,19093,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$28.98 ,$37.14 ,$47.77 ,$23.21 ,$27.39 ,$31.19 ,$34.33 ,$11.61 ,$15.94 ,$20.57 ,$23.98 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Iowa County,IA,19095,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$29.16 ,$37.50 ,$48.50 ,$23.12 ,$27.39 ,$31.19 ,$34.51 ,$11.56 ,$16.03 ,$20.75 ,$24.35 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Jackson County,IA,19097,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$29.04 ,$37.24 ,$48.11 ,$23.33 ,$27.39 ,$31.19 ,$34.51 ,$11.66 ,$15.97 ,$20.62 ,$24.15 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Jasper County,IA,19099,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.66 ,$29.06 ,$36.98 ,$47.43 ,$23.27 ,$27.69 ,$31.48 ,$34.66 ,$11.64 ,$15.98 ,$20.49 ,$23.81 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Jefferson County,IA,19101,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.46 ,$28.92 ,$36.58 ,$46.01 ,$23.36 ,$27.81 ,$31.60 ,$34.02 ,$11.68 ,$15.91 ,$20.29 ,$23.10 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Johnson County,IA,19103,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$15.18 ,$32.34 ,$41.51 ,$54.37 ,$24.91 ,$29.79 ,$34.47 ,$38.00 ,$12.45 ,$18.07 ,$22.75 ,$27.28 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Jones County,IA,19105,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.19 ,$29.07 ,$37.31 ,$47.85 ,$23.05 ,$27.39 ,$31.19 ,$34.15 ,$11.52 ,$15.98 ,$20.65 ,$24.03 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Keokuk County,IA,19107,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.55 ,$28.87 ,$36.90 ,$47.10 ,$23.26 ,$27.39 ,$31.19 ,$34.00 ,$11.63 ,$15.88 ,$20.45 ,$23.65 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Kossuth County,IA,19109,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.69 ,$29.17 ,$37.50 ,$47.78 ,$23.05 ,$27.39 ,$31.19 ,$33.78 ,$11.52 ,$16.03 ,$20.75 ,$23.99 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
